progressivo;anno;provenienza;"Comuni";"Gen Arrivi";"Feb Arrivi";"Mar Arrivi";"Apr Arrivi";"Mag Arrivi";"Giu Arrivi";"Lug Arrivi";"Ago Arrivi";"Set Arrivi";"Ott Arrivi";"Nov Arrivi";"Dic Arrivi";"Totale arrivi"
1;2022;Italiani + stranieri;23004 - Arcole;9;7;11;21;19;26;25;69;58;35;29;47;356
2;2022;Italiani + stranieri;23006 - Bardolino;3366;1488;12324;56340;59223;68712;73970;73565;60270;38962;9068;8788;466076
3;2022;Italiani + stranieri;23009 - Bonavigo;2;12;12;29;40;21;27;52;32;58;18;30;333
4;2022;Italiani + stranieri;23013 - Brentino Belluno;19;34;54;257;311;566;650;632;476;189;49;56;3293
5;2022;Italiani + stranieri;23014 - Brenzone sul Garda;543;690;1207;8445;11626;18321;22300;20805;14838;5502;864;866;106007
6;2022;Italiani + stranieri;23015 - Bussolengo;1342;2152;2544;6807;8942;11382;13143;14608;13109;5631;4121;3987;87768
7;2022;Italiani + stranieri;23016 - Buttapietra;29;8;2;48;19;52;56;90;81;63;76;29;553
8;2022;Italiani + stranieri;23017 - Caldiero;377;496;678;950;965;956;1281;930;1098;1012;851;556;10150
9;2022;Italiani + stranieri;23018 - Caprino Veronese;75;277;641;3038;2427;4047;4509;5152;3613;2035;418;349;26581
10;2022;Italiani + stranieri;23021 - Castel d'Azzano;767;1145;1321;1952;1750;1937;2533;2576;2053;1796;1431;994;20255
11;2022;Italiani + stranieri;23022 - Castelnuovo del Garda;2469;2855;4871;37278;39980;52713;52165;50171;36921;24492;4949;7569;316433
12;2022;Italiani + stranieri;23023 - Cavaion Veronese;405;842;1198;3599;3896;5813;6972;7164;6000;3777;1893;2037;43596
13;2022;Italiani + stranieri;23024 - Cazzano di Tramigna;51;90;131;199;247;167;220;336;246;171;152;136;2146
14;2022;Italiani + stranieri;23030 - Costermano sul Garda;480;765;2893;6988;7480;10477;12080;11587;9025;7051;856;868;70550
15;2022;Italiani + stranieri;23031 - Dolcé;126;98;151;210;240;366;376;418;228;252;188;175;2828
16;2022;Italiani + stranieri;23034 - Ferrara di Monte Baldo;28;65;32;211;333;492;814;828;473;284;30;167;3757
17;2022;Italiani + stranieri;23035 - Fumane;71;180;195;850;695;1140;1638;1743;1231;776;234;268;9021
18;2022;Italiani + stranieri;23036 - Garda;739;1132;3215;20391;22412;30922;33605;33416;27429;19024;2021;2662;196968
19;2022;Italiani + stranieri;23037 - Gazzo Veronese;9;17;18;23;17;22;23;18;37;49;25;19;277
20;2022;Italiani + stranieri;23038 - Grezzana;71;190;322;850;644;862;985;850;954;631;462;299;7120
21;2022;Italiani + stranieri;23039 - Illasi;158;229;418;542;609;796;833;822;640;366;237;239;5889
22;2022;Italiani + stranieri;23040 - Isola della Scala;72;68;75;155;149;161;131;179;206;134;108;101;1539
23;2022;Italiani + stranieri;23043 - Lazise;3206;4491;12705;72149;71558;108715;113699;114982;97167;56653;10737;11441;677503
24;2022;Italiani + stranieri;23044 - Legnago;678;758;1232;1048;1621;1370;1404;963;1482;1621;1337;1129;14643
25;2022;Italiani + stranieri;23045 - Malcesine;493;768;1510;22598;29351;43508;47778;45858;37003;17584;573;788;247812
26;2022;Italiani + stranieri;23046 - Marano di Valpolicella;145;146;196;365;387;424;653;711;456;407;186;214;4290
27;2022;Italiani + stranieri;23047 - Mezzane di Sotto;51;96;138;281;286;349;444;529;449;419;194;243;3479
28;2022;Italiani + stranieri;23049 - Montecchia di Crosara;14;29;29;32;22;10;33;15;32;16;37;26;295
29;2022;Italiani + stranieri;23051 - Mozzecane;10;26;44;62;68;60;64;41;87;71;91;65;689
30;2022;Italiani + stranieri;23053 - Nogara;184;247;281;509;336;535;409;402;577;545;418;293;4736
31;2022;Italiani + stranieri;23054 - Nogarole Rocca;941;1025;1441;2285;2349;2737;2738;2878;2411;2164;1605;1131;23705
32;2022;Italiani + stranieri;23055 - Oppeano;180;203;297;348;441;356;340;401;560;489;466;264;4345
33;2022;Italiani + stranieri;23058 - Pescantina;1309;1588;1559;2312;2087;2377;2631;2765;2548;2026;1754;1856;24812
34;2022;Italiani + stranieri;23059 - Peschiera del Garda;3972;5646;8558;52458;39215;75327;77497;72398;64323;47159;7532;7705;461790
35;2022;Italiani + stranieri;23062 - Rivoli Veronese;42;56;214;629;512;952;1331;1451;802;427;159;250;6825
36;2022;Italiani + stranieri;23064 - Ronco all'Adige;106;87;131;190;160;165;155;185;110;196;165;155;1805
37;2022;Italiani + stranieri;23067 - Roveré Veronese;35;51;24;83;59;95;170;138;73;85;58;89;960
38;2022;Italiani + stranieri;23068 - Salizzole;24;3;10;19;11;19;9;17;56;49;43;22;282
39;2022;Italiani + stranieri;23069 - San Bonifacio;1212;1416;2273;2812;2774;2948;3158;3582;3312;3105;2395;2131;31118
40;2022;Italiani + stranieri;23071 - San Giovanni Lupatoto;1450;2063;2601;3690;3589;4185;5075;4565;4355;4257;3187;3153;42170
