progressivo;anno;provenienza;"Comuni";"Gen Presenze";"Feb Presenze";"Mar Presenze";"Apr Presenze";"Mag Presenze";"Giu Presenze";"Lug Presenze";"Ago Presenze";"Set Presenze";"Ott Presenze";"Nov Presenze";"Dic Presenze";"Totale presenze"
1;2022;Italiani + stranieri;23004 - Arcole;75;69;61;66;92;68;66;112;107;60;75;106;957
2;2022;Italiani + stranieri;23006 - Bardolino;7849;2572;28191;222331;264124;366850;438326;454831;329117;159138;19279;18348;2310956
3;2022;Italiani + stranieri;23009 - Bonavigo;2;23;31;39;60;52;140;150;105;120;83;83;888
4;2022;Italiani + stranieri;23013 - Brentino Belluno;31;66;110;596;719;1308;1620;1910;1411;458;128;136;8493
5;2022;Italiani + stranieri;23014 - Brenzone sul Garda;1307;1349;3194;27911;40603;76177;97802;105734;67053;20996;2396;1673;446195
6;2022;Italiani + stranieri;23015 - Bussolengo;3580;4512;6192;14205;17393;23345;34364;36836;25107;12689;11021;10131;199375
7;2022;Italiani + stranieri;23016 - Buttapietra;135;16;7;99;41;103;167;358;371;481;452;357;2587
8;2022;Italiani + stranieri;23017 - Caldiero;778;912;1032;1454;1393;1400;2046;2196;2106;1406;1079;900;16702
9;2022;Italiani + stranieri;23018 - Caprino Veronese;399;757;1261;7871;7712;12989;18203;20407;11895;5441;1279;974;89188
10;2022;Italiani + stranieri;23021 - Castel d'Azzano;1453;1900;2227;3585;3090;3304;4391;5195;3809;3260;2487;1584;36285
11;2022;Italiani + stranieri;23022 - Castelnuovo del Garda;4781;5383;10434;90561;97504;171492;210044;205233;105447;55551;8794;13546;978770
12;2022;Italiani + stranieri;23023 - Cavaion Veronese;819;1137;1833;7479;8052;13362;19099;20511;12992;7272;3019;3586;99161
13;2022;Italiani + stranieri;23024 - Cazzano di Tramigna;61;109;199;355;397;272;441;722;461;262;206;201;3686
14;2022;Italiani + stranieri;23030 - Costermano sul Garda;984;1324;5666;22209;24493;42056;55326;60182;37454;19454;1964;1698;272810
15;2022;Italiani + stranieri;23031 - Dolcé;437;347;388;499;690;867;1034;1130;509;728;501;356;7486
16;2022;Italiani + stranieri;23034 - Ferrara di Monte Baldo;36;68;41;421;640;884;2317;2375;807;408;66;329;8392
17;2022;Italiani + stranieri;23035 - Fumane;191;359;329;1511;1530;2697;4977;5089;2750;1441;362;535;21771
18;2022;Italiani + stranieri;23036 - Garda;2827;2258;8211;71797;94178;137756;158381;172416;133056;75934;5067;6476;868357
19;2022;Italiani + stranieri;23037 - Gazzo Veronese;53;88;107;56;22;35;36;29;86;110;58;53;733
20;2022;Italiani + stranieri;23038 - Grezzana;132;322;550;1610;1070;1658;1957;2347;1837;1230;980;843;14536
21;2022;Italiani + stranieri;23039 - Illasi;392;523;928;1322;1047;1593;2141;2324;1695;882;559;627;14033
22;2022;Italiani + stranieri;23040 - Isola della Scala;636;658;692;871;1014;1167;1107;937;1258;861;968;657;10826
23;2022;Italiani + stranieri;23043 - Lazise;8116;7821;31724;302230;336546;600677;714041;839493;543618;222395;27503;22880;3657044
24;2022;Italiani + stranieri;23044 - Legnago;1332;1715;2484;2123;2785;2781;3119;2830;3697;3623;3610;2433;32532
25;2022;Italiani + stranieri;23045 - Malcesine;1477;1668;3844;76338;118663;198205;231585;245728;178160;71283;2614;1941;1131506
26;2022;Italiani + stranieri;23046 - Marano di Valpolicella;295;243;260;618;723;817;1278;1548;949;648;263;313;7955
27;2022;Italiani + stranieri;23047 - Mezzane di Sotto;429;411;237;628;702;1017;1550;1626;1461;1420;969;912;11362
28;2022;Italiani + stranieri;23049 - Montecchia di Crosara;61;85;76;55;28;24;119;71;48;21;107;36;731
29;2022;Italiani + stranieri;23051 - Mozzecane;51;71;148;161;235;151;268;164;237;254;317;295;2352
30;2022;Italiani + stranieri;23053 - Nogara;661;978;875;1159;1290;1071;953;1035;1115;1044;792;872;11845
31;2022;Italiani + stranieri;23054 - Nogarole Rocca;2113;2811;3949;4259;4461;5016;5390;6085;5204;5029;3905;2411;50633
32;2022;Italiani + stranieri;23055 - Oppeano;940;823;989;1024;1175;887;1063;1578;1378;1364;1558;1115;13894
33;2022;Italiani + stranieri;23058 - Pescantina;2013;2252;2293;4146;3898;4482;5539;6234;4599;3373;2654;3030;44513
34;2022;Italiani + stranieri;23059 - Peschiera del Garda;12265;13394;22676;191559;160346;366030;444386;460844;325643;187917;16664;15770;2217494
35;2022;Italiani + stranieri;23062 - Rivoli Veronese;110;119;348;1470;1269;2527;3716;4482;2016;998;275;441;17771
36;2022;Italiani + stranieri;23064 - Ronco all'Adige;436;322;391;398;482;440;589;574;460;604;612;485;5793
37;2022;Italiani + stranieri;23067 - Roveré Veronese;131;127;54;188;144;294;682;570;203;232;159;181;2965
38;2022;Italiani + stranieri;23068 - Salizzole;142;142;38;46;23;79;89;41;141;131;117;50;1039
39;2022;Italiani + stranieri;23069 - San Bonifacio;2758;2885;4918;5305;5321;5222;6414;8068;6602;6299;5114;4666;63572
40;2022;Italiani + stranieri;23071 - San Giovanni Lupatoto;2743;3368;5242;7305;7179;7408;8811;8768;8615;6706;6022;5040;77207
41;2022;Italiani + stranieri;23073 - San Martino Buon Albergo;2853;2833;4320;7622;8075;8682;11942;12663;10584;8445;6432;4987;89438
42;2022;Italiani + stranieri;23074 - San Mauro di Saline;15;16;26;64;77;57;92;137;57;14;0;0;555
43;2022;Italiani + stranieri;23076 - San Pietro in Cariano;1715;1892;2501;5582;5748;7169;9884;10398;8371;6409;3521;3537;66727
44;2022;Italiani + stranieri;23077 - Sant'Ambrogio di Valpolicella;572;798;1040;2373;2490;3320;4334;5182;3377;2198;1170;814;27668
45;2022;Italiani + stranieri;23079 - San Zeno di Montagna;143;416;1672;12183;16344;25492;34229;36595;24248;13942;1919;1768;168951
46;2022;Italiani + stranieri;23081 - Soave;1241;1092;2149;2718;3244;3831;3844;6588;6418;5338;3980;2509;42952
47;2022;Italiani + stranieri;23082 - Sommacampagna;3805;3686;5448;7244;7242;7969;10423;11090;9933;7975;6192;6018;87025
48;2022;Italiani + stranieri;23084 - Sorgà;68;130;223;263;212;146;416;234;208;82;137;80;2199
49;2022;Italiani + stranieri;23086 - Torri del Benaco;1056;527;2507;28758;37437;63090;75556;85553;60276;25175;1699;1593;383227
50;2022;Italiani + stranieri;23087 - Tregnago;420;570;751;1201;923;1080;1268;1621;1429;1334;766;695;12058
51;2022;Italiani + stranieri;23089 - Valeggio sul Mincio;4541;4729;6866;18075;31482;81424;104739;114857;36819;8458;3950;4375;420315
52;2022;Italiani + stranieri;23090 - Velo Veronese;197;83;144;246;220;631;1825;2811;350;250;113;255;7125
53;2022;Italiani + stranieri;23091 - Verona;78548;92570;133355;231161;229000;225640;292022;293482;269841;241590;165753;166325;2419287
54;2022;Italiani + stranieri;23093 - Vestenanova;46;16;30;76;69;56;326;418;266;13;1;8;1325
55;2022;Italiani + stranieri;23094 - Vigasio;2054;2080;3174;4140;3845;4358;5310;6110;4805;3545;2841;3001;45263
56;2022;Italiani + stranieri;23095 - Villa Bartolomea;824;1263;1508;1942;1855;1748;2369;1636;2269;1916;1427;1375;20132
57;2022;Italiani + stranieri;23096 - Villafranca di Verona;6533;8587;16339;25848;26723;29734;40673;41752;33215;27827;18824;14331;290386
58;2022;Italiani + stranieri;23097 - Zevio;623;849;1006;1610;1427;1619;1855;2002;1794;1562;1011;947;16305
59;2022;Italiani + stranieri;24001 - Agugliaro;67;117;205;366;328;341;360;442;405;428;353;210;3622
60;2022;Italiani + stranieri;24004 - Altavilla Vicentina;2335;2573;3455;4047;4150;4573;5886;6013;6209;5722;4268;3488;52719
61;2022;Italiani + stranieri;24005 - Altissimo;40;45;69;68;77;156;164;106;163;138;112;46;1184
62;2022;Italiani + stranieri;24006 - Arcugnano;416;635;1112;1977;2158;2804;3621;3889;2933;2598;730;1023;23896
63;2022;Italiani + stranieri;24007 - Arsiero;528;358;423;279;385;691;776;1136;822;608;398;540;6944
64;2022;Italiani + stranieri;24008 - Arzignano;317;497;499;282;365;289;435;467;562;446;409;497;5065
65;2022;Italiani + stranieri;24009 - Asiago;25438;18622;13375;13168;12235;22828;49410;58453;22035;14493;9286;22841;282184
66;2022;Italiani + stranieri;24012 - Bassano del Grappa;5649;7076;10132;14300;15185;14603;15663;17024;17636;15702;8920;10860;152750
67;2022;Italiani + stranieri;24013 - Bolzano Vicentino;619;672;1107;1380;1275;1314;1281;1419;1628;1598;1242;973;14508
68;2022;Italiani + stranieri;24014 - Breganze;234;194;385;310;340;371;281;164;202;284;281;284;3330
69;2022;Italiani + stranieri;24017 - Brogliano;103;119;296;203;263;228;295;205;350;240;306;188;2796
70;2022;Italiani + stranieri;24020 - Calvene;9;20;28;29;43;54;82;186;98;56;19;36;660
71;2022;Italiani + stranieri;24021 - Camisano Vicentino;38;46;36;172;48;36;89;108;72;88;29;55;817
72;2022;Italiani + stranieri;24026 - Cassola;1264;1721;2090;2588;2261;2670;2349;2200;2597;2479;2025;2141;26385
73;2022;Italiani + stranieri;24027 - Castegnero;108;164;348;498;389;677;803;1052;573;629;259;329;5829
74;2022;Italiani + stranieri;24034 - Cornedo Vicentino;374;423;550;307;481;390;342;330;425;488;330;196;4636
75;2022;Italiani + stranieri;24035 - Costabissara;397;370;716;451;480;528;400;406;753;652;710;362;6225
76;2022;Italiani + stranieri;24036 - Creazzo;1422;2258;3595;5189;5434;5458;7562;7115;6287;6503;5285;4926;61034
77;2022;Italiani + stranieri;24038 - Dueville;113;79;260;335;269;254;283;386;419;399;316;346;3459
78;2022;Italiani + stranieri;24039 - Enego;152;113;64;34;24;242;1602;1983;176;85;82;291;4848
79;2022;Italiani + stranieri;24040 - Fara Vicentino;246;187;174;444;430;324;644;895;604;703;384;206;5241
80;2022;Italiani + stranieri;24041 - Foza;91;19;16;163;132;155;746;383;27;30;9;122;1893
81;2022;Italiani + stranieri;24042 - Gallio;5975;4856;4195;3150;2687;5486;17291;18885;6096;3641;3023;5960;81245
82;2022;Italiani + stranieri;24046 - Grisignano di Zocco;490;636;1254;1239;1515;1502;1637;1248;2051;2606;2594;1643;18415
83;2022;Italiani + stranieri;24047 - Grumolo delle Abbadesse;1294;1453;2454;2349;2250;2281;1734;857;2075;77;1778;1572;20174
84;2022;Italiani + stranieri;24048 - Isola Vicentina;122;132;277;260;213;281;207;174;216;247;239;144;2512
85;2022;Italiani + stranieri;24052 - Lonigo;995;1339;2543;2199;2271;2251;2132;1391;2821;2962;2218;1469;24591
86;2022;Italiani + stranieri;24053 - Lugo di Vicenza;109;84;142;276;215;223;418;887;205;278;168;291;3296
87;2022;Italiani + stranieri;24055 - Malo;1064;1170;1654;1391;1750;1586;1741;1404;1779;2103;1383;1202;18227
88;2022;Italiani + stranieri;24056 - Marano Vicentino;216;314;460;289;296;275;339;232;406;441;352;312;3932
89;2022;Italiani + stranieri;24057 - Marostica;529;635;1031;1343;1674;1165;1760;1370;1837;1899;1488;1185;15916
90;2022;Italiani + stranieri;24060 - Montebello Vicentino;628;752;1164;1303;1224;1036;1477;1590;1373;1300;1091;851;13789
91;2022;Italiani + stranieri;24061 - Montecchio Maggiore;5090;5671;8029;8692;9047;9279;9835;8653;10073;10831;8429;7733;101362
92;2022;Italiani + stranieri;24062 - Montecchio Precalcino;1;61;39;35;55;11;26;38;39;6;12;37;360
93;2022;Italiani + stranieri;24064 - Montegalda;238;252;407;460;544;621;691;779;587;687;201;264;5731
94;2022;Italiani + stranieri;24065 - Montegaldella;50;114;376;345;267;281;308;288;139;234;59;43;2504
95;2022;Italiani + stranieri;24067 - Monticello Conte Otto;302;266;274;312;211;397;481;381;443;319;243;205;3834
96;2022;Italiani + stranieri;24074 - Noventa Vicentina;314;510;847;760;727;758;666;680;1112;817;832;823;8846
97;2022;Italiani + stranieri;24080 - Posina;63;4;71;23;63;116;1426;1206;296;70;8;140;3486
98;2022;Italiani + stranieri;24081 - Pove del Grappa;625;637;636;618;588;770;633;772;809;911;647;600;8246
99;2022;Italiani + stranieri;24083 - Quinto Vicentino;268;204;178;241;380;314;321;212;392;224;284;435;3453
100;2022;Italiani + stranieri;24084 - Recoaro Terme;501;532;727;654;1133;1053;2476;2448;1116;1235;496;878;13249
101;2022;Italiani + stranieri;24085 - Roana;12188;9205;7686;5816;5499;11146;29880;37225;10825;6232;5030;11559;152291
102;2022;Italiani + stranieri;24086 - Romano d'Ezzelino;626;693;678;713;650;683;791;737;536;654;622;546;7929
103;2022;Italiani + stranieri;24087 - Rosà;328;321;524;653;532;574;672;795;656;665;454;501;6675
104;2022;Italiani + stranieri;24089 - Rotzo;372;161;134;132;86;201;617;884;146;157;105;224;3219
105;2022;Italiani + stranieri;24095 - Santorso;483;451;643;306;419;548;565;650;949;911;823;630;7378
106;2022;Italiani + stranieri;24097 - Sarcedo;244;255;424;211;294;404;372;657;606;497;526;421;4911
107;2022;Italiani + stranieri;24098 - Sarego;238;200;351;376;346;433;457;352;415;345;316;157;3986
108;2022;Italiani + stranieri;24100 - Schio;4304;4717;6873;6789;7030;8569;9567;9778;7430;6415;5438;4442;81352
109;2022;Italiani + stranieri;24104 - Tezze sul Brenta;877;1481;1831;1786;1537;1662;2108;2105;2112;2218;1682;1211;20610
110;2022;Italiani + stranieri;24105 - Thiene;407;581;936;787;1157;920;965;624;1311;1305;1172;1078;11243
111;2022;Italiani + stranieri;24106 - Tonezza del Cimone;801;318;320;382;484;2122;8014;8168;1238;343;138;1235;23563
112;2022;Italiani + stranieri;24107 - Torrebelvicino;56;114;190;159;203;226;279;310;263;264;189;166;2419
113;2022;Italiani + stranieri;24108 - Torri di Quartesolo;159;236;683;525;195;534;354;339;449;540;361;276;4651
114;2022;Italiani + stranieri;24110 - Trissino;67;90;169;177;254;335;768;1106;1216;819;427;424;5852
115;2022;Italiani + stranieri;24111 - Valdagno;210;188;231;283;287;278;403;283;362;440;355;281;3601
116;2022;Italiani + stranieri;24115 - Velo d'Astico;23;50;50;47;61;76;136;250;137;12;12;21;875
117;2022;Italiani + stranieri;24116 - Vicenza;22015;25952;37530;47948;51181;42491;50441;47012;50032;50186;33633;30815;489236
