progressivo;anno;ambito territoriale;dettaglio;Mese;Arrivi italiani;Arrivi stranieri;Presenze italiani;Presenze stranieri;Totale arrivi;Totale presenze
1;2022;STL;01 Dolomiti;Gennaio;48224;20556;188139;95871;68780;284010
2;2022;STL;01 Dolomiti;Febbraio;41966;31351;138406;149578;73317;287984
3;2022;STL;01 Dolomiti;Marzo;25365;22932;108100;118180;48297;226280
4;2022;STL;01 Dolomiti;Aprile;10481;5264;44768;18245;15745;63013
5;2022;STL;01 Dolomiti;Maggio;9387;11752;33626;24946;21139;58572
6;2022;STL;01 Dolomiti;Giugno;41656;45827;121020;103396;87483;224416
7;2022;STL;01 Dolomiti;Luglio;91828;75994;385270;179670;167822;564940
8;2022;STL;01 Dolomiti;Agosto;99953;59673;549062;142845;159626;691907
9;2022;STL;01 Dolomiti;Settembre;33436;52479;116504;114209;85915;230713
10;2022;STL;01 Dolomiti;Ottobre;14071;14562;41978;32201;28633;74179
11;2022;STL;01 Dolomiti;Novembre;5771;2369;24102;6028;8140;30130
12;2022;STL;01 Dolomiti;Dicembre;49658;19630;167492;76974;69288;244466
13;2022;STL;01 Dolomiti;TOTALE;471796;362389;1918467;1062143;834185;2980610
