progressivo;anno;ambito territoriale;dettaglio;Mese;Arrivi italiani;Arrivi stranieri;Presenze italiani;Presenze stranieri;Totale arrivi;Totale presenze
1;2021;PROVINCIA;Belluno;Gennaio;10487;779;62962;4626;11266;67588
2;2021;PROVINCIA;Belluno;Febbraio;41654;3268;141419;20626;44922;162045
3;2021;PROVINCIA;Belluno;Marzo;12996;1002;66933;6444;13998;73377
4;2021;PROVINCIA;Belluno;Aprile;7157;476;47232;3565;7633;50797
5;2021;PROVINCIA;Belluno;Maggio;16024;2087;56894;6472;18111;63366
6;2021;PROVINCIA;Belluno;Giugno;46167;18808;145182;45958;64975;191140
7;2021;PROVINCIA;Belluno;Luglio;113045;51223;506197;131668;164268;637865
8;2021;PROVINCIA;Belluno;Agosto;142063;52123;778761;141343;194186;920104
9;2021;PROVINCIA;Belluno;Settembre;55696;44863;204341;109330;100559;313671
10;2021;PROVINCIA;Belluno;Ottobre;25213;10528;78228;29529;35741;107757
11;2021;PROVINCIA;Belluno;Novembre;12130;2565;42427;8466;14695;50893
12;2021;PROVINCIA;Belluno;Dicembre;49095;14711;149581;59872;63806;209453
13;2021;PROVINCIA;Belluno;TOTALE;531727;202433;2280157;567899;734160;2848056
