progressivo;anno;provenienza;"Comuni";"Gen Arrivi";"Feb Arrivi";"Mar Arrivi";"Apr Arrivi";"Mag Arrivi";"Giu Arrivi";"Lug Arrivi";"Ago Arrivi";"Set Arrivi";"Ott Arrivi";"Nov Arrivi";"Dic Arrivi";"Totale arrivi"
1;2024;Italiani + stranieri;23001 - Affi;2981;3253;3397;3968;5154;4445;5271;5836;4657;3504;2267;2272;47005
2;2024;Italiani + stranieri;23004 - Arcole;67;44;62;66;99;89;100;68;120;72;75;58;920
3;2024;Italiani + stranieri;23006 - Bardolino;4391;6164;25571;49925;67103;66351;75182;81795;63267;49592;12165;10022;511528
4;2024;Italiani + stranieri;23009 - Bonavigo;40;26;66;74;57;51;89;53;72;40;31;53;652
5;2024;Italiani + stranieri;23011 - Bosco Chiesanuova;392;230;238;230;316;496;1093;1318;620;351;417;751;6452
6;2024;Italiani + stranieri;23012 - Bovolone;107;149;103;53;104;174;442;382;509;355;250;325;2953
7;2024;Italiani + stranieri;23013 - Brentino Belluno;37;28;125;301;526;683;886;920;606;177;88;65;4442
8;2024;Italiani + stranieri;23014 - Brenzone sul Garda;614;661;2760;6277;14733;16222;22096;22718;16217;5686;1158;886;110028
9;2024;Italiani + stranieri;23015 - Bussolengo;2964;3453;7551;11612;14364;10570;13145;14834;13882;5120;4592;4396;106483
10;2024;Italiani + stranieri;23016 - Buttapietra;68;45;54;58;80;63;82;95;83;58;57;39;782
11;2024;Italiani + stranieri;23017 - Caldiero;595;696;729;1117;1134;1480;1960;1732;1716;1119;1304;829;14411
12;2024;Italiani + stranieri;23018 - Caprino Veronese;233;843;1816;2995;4777;4887;6813;7587;4964;3065;904;387;39271
13;2024;Italiani + stranieri;23021 - Castel d'Azzano;2192;2479;3000;3098;4530;3500;3842;4201;3657;2988;2455;2100;38042
14;2024;Italiani + stranieri;23022 - Castelnuovo del Garda;3941;1505;12070;29681;38652;41223;46144;50190;33661;24063;5625;9928;296683
15;2024;Italiani + stranieri;23023 - Cavaion Veronese;1498;1710;2808;4482;6281;6074;6968;7194;6390;4402;2945;2501;53253
16;2024;Italiani + stranieri;23024 - Cazzano di Tramigna;85;95;141;155;208;252;140;321;239;133;182;88;2039
17;2024;Italiani + stranieri;23025 - Cerea;92;97;149;249;178;151;146;93;332;198;160;121;1966
18;2024;Italiani + stranieri;23027 - Cologna Veneta;68;52;53;99;86;94;64;52;123;72;65;75;903
19;2024;Italiani + stranieri;23028 - Colognola ai Colli;384;486;650;841;1044;1033;1151;1217;1041;960;788;658;10253
20;2024;Italiani + stranieri;23030 - Costermano sul Garda;396;1443;5407;7699;9895;9750;12741;13535;9410;6399;1321;835;78831
21;2024;Italiani + stranieri;23031 - Dolcé;100;122;159;214;297;251;289;417;294;143;188;99;2573
22;2024;Italiani + stranieri;23035 - Fumane;230;320;427;738;783;1061;1579;1745;1064;625;443;340;9355
23;2024;Italiani + stranieri;23036 - Garda;1746;1772;10113;21360;29127;27520;32820;37028;28733;20008;4259;3598;218084
24;2024;Italiani + stranieri;23037 - Gazzo Veronese;16;30;32;62;45;49;45;21;54;42;28;39;463
25;2024;Italiani + stranieri;23038 - Grezzana;265;262;486;665;831;1372;1146;1213;1203;684;672;364;9163
26;2024;Italiani + stranieri;23039 - Illasi;24;223;288;374;649;661;908;845;691;420;241;218;5542
27;2024;Italiani + stranieri;23040 - Isola della Scala;100;102;107;171;167;102;188;139;246;144;142;135;1743
28;2024;Italiani + stranieri;23042 - Lavagno;83;91;113;203;257;217;218;302;322;159;155;100;2220
29;2024;Italiani + stranieri;23043 - Lazise;9062;8573;40514;71263;102821;105928;127294;137839;106181;55598;18340;13774;797187
30;2024;Italiani + stranieri;23044 - Legnago;1096;1305;1373;1327;1708;1368;1204;892;1752;1812;1402;1187;16426
31;2024;Italiani + stranieri;23045 - Malcesine;403;496;7169;19536;39079;40223;49879;51916;39412;17327;1502;1105;268047
32;2024;Italiani + stranieri;23046 - Marano di Valpolicella;130;134;264;402;421;421;558;652;436;276;250;134;4078
33;2024;Italiani + stranieri;23047 - Mezzane di Sotto;110;128;170;306;364;372;624;577;391;304;286;236;3868
34;2024;Italiani + stranieri;23049 - Montecchia di Crosara;92;48;67;151;117;105;138;159;155;55;83;56;1226
35;2024;Italiani + stranieri;23051 - Mozzecane;124;113;124;206;225;170;329;474;317;132;151;188;2553
36;2024;Italiani + stranieri;23052 - Negrar di Valpolicella;1985;2454;4852;7933;8296;6057;6069;6726;6602;5262;4343;3423;64002
37;2024;Italiani + stranieri;23053 - Nogara;321;297;351;359;436;344;342;310;374;441;310;217;4102
38;2024;Italiani + stranieri;23054 - Nogarole Rocca;1220;1342;1798;2212;2679;2274;3119;3009;2670;1714;1820;1102;24959
39;2024;Italiani + stranieri;23055 - Oppeano;355;374;354;515;516;473;507;271;546;450;402;358;5121
40;2024;Italiani + stranieri;23057 - Pastrengo;421;360;1155;1702;2737;2790;3986;3957;2771;1755;635;402;22671
41;2024;Italiani + stranieri;23058 - Pescantina;2097;2048;2448;2502;2698;2425;2960;2846;2826;2486;2273;2089;29698
42;2024;Italiani + stranieri;23059 - Peschiera del Garda;6655;6472;29185;55859;72257;72975;83648;86477;67963;54254;12314;11001;559060
43;2024;Italiani + stranieri;23060 - Povegliano Veronese;67;67;69;165;127;182;242;152;168;132;93;93;1557
44;2024;Italiani + stranieri;23062 - Rivoli Veronese;34;18;330;460;699;748;1018;1346;893;376;176;198;6296
45;2024;Italiani + stranieri;23064 - Ronco all'Adige;131;132;145;173;152;139;188;129;138;184;155;127;1793
46;2024;Italiani + stranieri;23067 - Roveré Veronese;20;38;28;91;65;89;157;178;88;62;72;85;973
47;2024;Italiani + stranieri;23068 - Salizzole;28;32;35;66;41;47;62;36;51;45;55;17;515
48;2024;Italiani + stranieri;23069 - San Bonifacio;2454;2359;2541;3002;4104;3186;3433;3132;3755;3590;3127;2288;36971
49;2024;Italiani + stranieri;23070 - San Giovanni Ilarione;21;16;27;41;41;40;99;77;26;35;19;17;459
50;2024;Italiani + stranieri;23071 - San Giovanni Lupatoto;3869;3817;4238;5458;6671;4907;6363;6665;5597;5208;4925;4442;62160
51;2024;Italiani + stranieri;23073 - San Martino Buon Albergo;1600;1540;2322;5106;5731;3899;3911;4037;3522;2997;2681;2140;39486
52;2024;Italiani + stranieri;23074 - San Mauro di Saline;1;4;26;40;29;28;65;58;34;12;5;11;313
53;2024;Italiani + stranieri;23076 - San Pietro in Cariano;1306;1364;1997;2849;3539;3646;5209;5548;4207;2764;2182;1523;36134
54;2024;Italiani + stranieri;23077 - Sant'Ambrogio di Valpolicella;366;471;848;1228;1440;1471;2600;3032;1729;1096;854;608;15743
55;2024;Italiani + stranieri;23079 - San Zeno di Montagna;324;313;2375;7046;8608;8525;10525;13464;8118;4726;1138;430;65592
56;2024;Italiani + stranieri;23080 - Selva di Progno;13;7;6;11;26;98;220;318;96;19;39;43;896
57;2024;Italiani + stranieri;23081 - Soave;1828;2329;1510;3663;4507;2220;4170;3951;4242;3390;1815;1749;35374
58;2024;Italiani + stranieri;23082 - Sommacampagna;4085;4187;4370;4561;5837;5765;6242;7003;5867;5588;4462;4651;62618
59;2024;Italiani + stranieri;23084 - Sorgà;54;44;68;69;95;110;153;118;70;81;61;41;964
60;2024;Italiani + stranieri;23086 - Torri del Benaco;287;484;4308;9212;14121;14833;18969;20339;15681;8671;1736;1554;110195
