progressivo;anno;provenienza;"Comuni";"Gen Presenze";"Feb Presenze";"Mar Presenze";"Apr Presenze";"Mag Presenze";"Giu Presenze";"Lug Presenze";"Ago Presenze";"Set Presenze";"Ott Presenze";"Nov Presenze";"Dic Presenze";"Totale presenze"
1;2024;Italiani + stranieri;23001 - Affi;4117;4377;5088;6530;8104;6748;9586;11501;7345;5148;3342;3580;75466
2;2024;Italiani + stranieri;23004 - Arcole;136;93;117;132;180;157;188;127;207;151;147;107;1742
3;2024;Italiani + stranieri;23006 - Bardolino;10142;10628;77002;190166;327208;342115;441161;472530;348393;216959;28533;22731;2487568
4;2024;Italiani + stranieri;23009 - Bonavigo;63;30;225;129;92;81;137;96;113;70;35;92;1163
5;2024;Italiani + stranieri;23011 - Bosco Chiesanuova;558;319;374;472;618;1201;6086;6438;1404;545;765;1366;20146
6;2024;Italiani + stranieri;23012 - Bovolone;249;530;565;136;320;1093;1168;1246;1685;1562;1101;1311;10966
7;2024;Italiani + stranieri;23013 - Brentino Belluno;93;77;194;526;827;929;1666;1925;995;249;239;100;7820
8;2024;Italiani + stranieri;23014 - Brenzone sul Garda;1461;1499;8477;20290;55426;64257;98246;106201;69394;24538;2523;2018;454330
9;2024;Italiani + stranieri;23015 - Bussolengo;10805;12416;22157;29384;32507;28804;36325;38119;33722;14929;13538;13347;286053
10;2024;Italiani + stranieri;23016 - Buttapietra;247;168;151;147;174;277;255;377;211;184;274;234;2699
11;2024;Italiani + stranieri;23017 - Caldiero;1747;1807;2068;2900;2971;3408;4853;4571;4271;3249;3386;2518;37749
12;2024;Italiani + stranieri;23018 - Caprino Veronese;986;1780;3363;6405;11370;11719;20071;23114;12622;6531;1748;1186;100895
13;2024;Italiani + stranieri;23021 - Castel d'Azzano;3728;4025;5329;6154;7479;6773;7487;8869;7141;5304;3994;3486;69769
14;2024;Italiani + stranieri;23022 - Castelnuovo del Garda;7355;3255;28701;69014;113233;122533;194088;215901;112939;54497;12432;15989;949937
15;2024;Italiani + stranieri;23023 - Cavaion Veronese;2562;2822;5888;8897;13258;13880;20177;21291;15007;8626;4560;4027;120995
16;2024;Italiani + stranieri;23024 - Cazzano di Tramigna;124;140;225;248;431;390;309;630;401;194;256;137;3485
17;2024;Italiani + stranieri;23025 - Cerea;317;328;435;643;443;558;355;210;627;497;544;524;5481
18;2024;Italiani + stranieri;23027 - Cologna Veneta;115;101;83;150;196;162;113;95;204;95;161;186;1661
19;2024;Italiani + stranieri;23028 - Colognola ai Colli;760;702;1316;1756;2218;2535;3173;3397;2698;1633;1336;1103;22627
20;2024;Italiani + stranieri;23030 - Costermano sul Garda;907;2569;13310;22153;36571;37755;62024;67315;40302;21409;2799;1858;308972
21;2024;Italiani + stranieri;23031 - Dolcé;249;310;308;351;443;351;796;994;636;360;507;414;5719
22;2024;Italiani + stranieri;23035 - Fumane;434;470;741;1294;1881;2686;5134;5078;2494;1379;647;624;22862
23;2024;Italiani + stranieri;23036 - Garda;4850;3811;28440;74389;123606;127731;164334;178760;138726;82428;9735;8782;945592
24;2024;Italiani + stranieri;23037 - Gazzo Veronese;149;131;141;200;168;156;169;123;178;238;89;130;1872
25;2024;Italiani + stranieri;23038 - Grezzana;504;476;1002;1226;1554;2406;2689;2865;2480;1225;1081;623;18131
26;2024;Italiani + stranieri;23039 - Illasi;117;566;646;1084;1428;1537;2433;2675;1499;1092;562;457;14096
27;2024;Italiani + stranieri;23040 - Isola della Scala;910;813;1120;1598;1583;1350;1362;1354;1459;1684;1629;1329;16191
28;2024;Italiani + stranieri;23042 - Lavagno;208;218;205;406;529;505;571;591;628;309;272;244;4686
29;2024;Italiani + stranieri;23043 - Lazise;19725;16880;133332;287422;521746;506970;794738;893009;566372;242964;40187;28779;4052124
30;2024;Italiani + stranieri;23044 - Legnago;2223;2515;2598;3205;3046;2535;2403;2080;3396;3241;2623;2125;31990
31;2024;Italiani + stranieri;23045 - Malcesine;1465;1137;22725;65238;158850;177688;238380;258327;184630;76290;4568;2674;1191972
32;2024;Italiani + stranieri;23046 - Marano di Valpolicella;193;157;422;712;802;794;1226;1641;913;485;397;207;7949
33;2024;Italiani + stranieri;23047 - Mezzane di Sotto;392;356;385;711;782;947;1618;1641;1015;754;778;721;10100
34;2024;Italiani + stranieri;23049 - Montecchia di Crosara;225;125;167;266;179;195;341;412;393;124;168;153;2748
35;2024;Italiani + stranieri;23051 - Mozzecane;266;381;285;625;627;597;759;819;540;248;247;289;5683
36;2024;Italiani + stranieri;23052 - Negrar di Valpolicella;5654;6395;10807;15465;14563;13135;18308;18772;15033;11822;9397;7232;146583
37;2024;Italiani + stranieri;23053 - Nogara;848;777;943;1242;1068;872;1164;1059;1074;876;781;415;11119
38;2024;Italiani + stranieri;23054 - Nogarole Rocca;2832;3058;3757;5006;5432;5012;6001;5933;5452;3896;4138;2554;53071
39;2024;Italiani + stranieri;23055 - Oppeano;1226;1335;1238;1466;1497;1410;1647;1355;1641;1487;1093;1243;16638
40;2024;Italiani + stranieri;23057 - Pastrengo;862;698;2824;4429;6223;6011;9882;11691;6135;3352;1212;711;54030
41;2024;Italiani + stranieri;23058 - Pescantina;3281;2826;3649;4246;4738;4153;5681;7049;5108;3822;3375;3162;51090
42;2024;Italiani + stranieri;23059 - Peschiera del Garda;14704;12605;86014;203108;330402;347818;470026;490373;333777;241856;31211;20554;2582448
43;2024;Italiani + stranieri;23060 - Povegliano Veronese;157;129;179;359;291;288;447;326;316;214;213;148;3067
44;2024;Italiani + stranieri;23062 - Rivoli Veronese;152;77;788;1365;2078;2518;3643;4618;2538;999;398;524;19698
45;2024;Italiani + stranieri;23064 - Ronco all'Adige;474;499;589;690;634;690;778;419;344;626;478;523;6744
46;2024;Italiani + stranieri;23067 - Roveré Veronese;56;54;123;231;101;201;629;639;184;139;139;148;2644
47;2024;Italiani + stranieri;23068 - Salizzole;173;229;172;213;203;190;259;215;156;138;159;108;2215
48;2024;Italiani + stranieri;23069 - San Bonifacio;6385;6059;6642;7340;8873;7575;8660;7469;8738;8233;7629;5916;89519
49;2024;Italiani + stranieri;23070 - San Giovanni Ilarione;70;24;58;90;92;107;179;242;259;200;204;49;1574
50;2024;Italiani + stranieri;23071 - San Giovanni Lupatoto;6962;6939;8246;10592;12212;10423;12192;12348;11771;9833;8971;7751;118240
51;2024;Italiani + stranieri;23073 - San Martino Buon Albergo;3306;3145;4391;9449;10275;8536;11129;11632;10050;8862;8849;4515;94139
52;2024;Italiani + stranieri;23074 - San Mauro di Saline;3;8;67;78;120;105;245;189;250;35;10;56;1166
53;2024;Italiani + stranieri;23076 - San Pietro in Cariano;2668;2659;4043;5632;7454;7362;10866;12520;9025;5862;3941;3035;75067
54;2024;Italiani + stranieri;23077 - Sant'Ambrogio di Valpolicella;673;913;1714;2561;3433;3186;6062;7329;3761;2547;1792;1378;35349
55;2024;Italiani + stranieri;23079 - San Zeno di Montagna;1340;648;5089;17179;23260;22151;33859;37985;23332;13130;2742;1161;181876
56;2024;Italiani + stranieri;23080 - Selva di Progno;13;9;11;13;43;152;893;1424;581;41;40;41;3261
57;2024;Italiani + stranieri;23081 - Soave;3592;3507;2928;6628;7873;4885;7839;7684;7603;5428;3254;3025;64246
58;2024;Italiani + stranieri;23082 - Sommacampagna;6363;6508;7281;7493;9374;9035;10742;12552;10051;8372;7184;6810;101765
