progressivo;anno;ambito territoriale;dettaglio;Mese;Arrivi italiani;Arrivi stranieri;Presenze italiani;Presenze stranieri;Totale arrivi;Totale presenze
1;2024;STL;01 Dolomiti;Gennaio;50428;37325;210195;181080;87753;391275
2;2024;STL;01 Dolomiti;Febbraio;40307;50997;156682;257042;91304;413724
3;2024;STL;01 Dolomiti;Marzo;29404;32297;116267;139686;61701;255953
4;2024;STL;01 Dolomiti;Aprile;9244;9489;44780;25535;18733;70315
5;2024;STL;01 Dolomiti;Maggio;7302;21391;31154;46044;28693;77198
6;2024;STL;01 Dolomiti;Giugno;36461;69991;112731;156097;106452;268828
7;2024;STL;01 Dolomiti;Luglio;77586;111816;365513;275702;189402;641215
8;2024;STL;01 Dolomiti;Agosto;100990;90095;521600;222408;191085;744008
9;2024;STL;01 Dolomiti;Settembre;32032;78433;116668;174509;110465;291177
10;2024;STL;01 Dolomiti;Ottobre;10501;22192;37811;50651;32693;88462
11;2024;STL;01 Dolomiti;Novembre;9539;4077;35893;10336;13616;46229
12;2024;STL;01 Dolomiti;Dicembre;45325;24217;165321;94200;69542;259521
13;2024;STL;01 Dolomiti;TOTALE;449119;552320;1914615;1633290;1001439;3547905
