progressivo;anno;provenienza;Comuni;Gen Presenze;Feb Presenze;Mar Presenze;Apr Presenze;Mag Presenze;Giu Presenze;Lug Presenze;Ago Presenze;Set Presenze;Ott Presenze;Nov Presenze;Dic Presenze;Totale presenze
143;2024;Italiani + stranieri;25001 - Agordo;1778;1614;1460;1073;1537;1844;3413;3907;2281;1574;1452;930;22863
144;2024;Italiani + stranieri;25003 - Alleghe;25284;26891;17740;2359;3550;10685;28758;30933;12510;2733;1982;12870;176295
145;2024;Italiani + stranieri;25004 - Arsié;69;102;159;687;2585;4434;11991;15028;2955;207;130;200;38547
146;2024;Italiani + stranieri;25005 - Auronzo di Cadore;14486;19155;8557;2084;6659;37628;79537;82627;35255;7555;2862;10421;306826
147;2024;Italiani + stranieri;25006 - Belluno;9342;9023;9749;10684;11205;12904;17608;20885;13211;10716;10639;10239;146205
148;2024;Italiani + stranieri;25007 - Borca di Cadore;9238;11383;4897;3738;5138;10247;17755;22241;14063;4897;3951;5673;113221
149;2024;Italiani + stranieri;25008 - Calalzo di Cadore;2772;2133;951;1334;2230;4251;9867;11348;4357;1901;1320;2988;45452
150;2024;Italiani + stranieri;25010 - Cencenighe Agordino;258;520;162;142;250;497;1209;1610;562;242;252;313;6017
151;2024;Italiani + stranieri;25011 - Cesiomaggiore;277;222;299;253;550;823;1310;1806;624;202;256;272;6894
152;2024;Italiani + stranieri;25012 - Chies d'Alpago;705;653;214;519;798;793;1120;1390;734;698;704;714;9042
153;2024;Italiani + stranieri;25013 - Cibiana di Cadore;393;206;117;130;341;795;1458;1908;670;438;141;488;7085
154;2024;Italiani + stranieri;25014 - Colle Santa Lucia;2096;2987;1333;311;638;2023;3571;4257;2072;523;265;1048;21124
155;2024;Italiani + stranieri;25015 - Comelico Superiore;7699;8601;2169;1201;1193;6356;20029;24158;7436;1471;1025;6599;87937
156;2024;Italiani + stranieri;25016 - Cortina d'Ampezzo;104634;112300;81487;32075;30068;88288;155858;174247;92884;35358;13131;74126;994456
157;2024;Italiani + stranieri;25017 - Danta di Cadore;249;273;60;99;295;483;987;1266;409;0;129;252;4502
158;2024;Italiani + stranieri;25018 - Domegge di Cadore;327;253;163;195;451;712;2199;2495;896;429;336;562;9018
159;2024;Italiani + stranieri;25019 - Falcade;45315;45694;22829;2438;1517;11941;58508;65202;15242;1091;912;23611;294300
160;2024;Italiani + stranieri;25021 - Feltre;3235;2829;3146;3078;3933;4678;5549;7534;5674;4186;3291;3370;50503
161;2024;Italiani + stranieri;25022 - Fonzaso;145;127;127;187;220;209;249;422;196;234;160;128;2404
162;2024;Italiani + stranieri;25023 - Canale d'Agordo;3555;1990;1162;1023;666;3777;11499;16123;3535;875;481;2809;47495
163;2024;Italiani + stranieri;25025 - Gosaldo;261;158;188;116;163;269;966;1251;187;186;47;163;3955
164;2024;Italiani + stranieri;25026 - Lamon;319;206;177;335;657;962;1797;2801;919;343;425;426;9367
165;2024;Italiani + stranieri;25029 - Limana;547;507;714;613;584;1176;1380;1501;744;492;647;553;9458
166;2024;Italiani + stranieri;25030 - Livinallongo del Col di Lana;66660;70245;50575;4009;2411;19996;51301;63126;21529;1818;612;46133;398415
167;2024;Italiani + stranieri;25032 - Lorenzago di Cadore;181;143;111;110;610;1036;2655;2155;989;745;211;717;9663
168;2024;Italiani + stranieri;25033 - Lozzo di Cadore;307;187;126;170;204;389;1135;1587;475;200;119;290;5189
169;2024;Italiani + stranieri;25036 - Pedavena;573;484;437;586;644;797;1322;1835;855;740;698;937;9908
170;2024;Italiani + stranieri;25037 - Perarolo di Cadore;277;410;92;162;203;430;1139;1322;496;301;192;282;5306
171;2024;Italiani + stranieri;25039 - Pieve di Cadore;3179;3246;1879;2171;2558;5354;13300;14597;6142;3988;2598;3889;62901
172;2024;Italiani + stranieri;25040 - Ponte nelle Alpi;1157;1023;1131;1160;1808;2105;2737;3427;2174;1965;1584;1580;21851
173;2024;Italiani + stranieri;25043 - Rivamonte Agordino;199;308;155;83;128;195;510;505;156;62;76;405;2782
174;2024;Italiani + stranieri;25044 - Rocca Pietore;24148;28138;16359;1153;1678;9208;38170;48443;15193;1894;955;14659;199998
