progressivo;anno;provenienza;Comuni;Gen Presenze;Feb Presenze;Mar Presenze;Apr Presenze;Mag Presenze;Giu Presenze;Lug Presenze;Ago Presenze;Set Presenze;Ott Presenze;Nov Presenze;Dic Presenze;Totale presenze
143;2023;Italiani + stranieri;25001 - Agordo;1564;1384;843;1132;1352;1732;3059;3698;2028;1341;1441;1596;21170
144;2023;Italiani + stranieri;25002 - Alano di Piave;1456;1822;1606;1759;1625;1609;1530;1093;1892;1762;1177;1058;18389
145;2023;Italiani + stranieri;25003 - Alleghe;24404;25857;17712;2309;3395;9487;26107;30655;12076;2314;1905;13198;169419
146;2023;Italiani + stranieri;25004 - Arsié;52;38;43;1101;2034;5660;11737;16015;3905;370;51;135;41141
147;2023;Italiani + stranieri;25005 - Auronzo di Cadore;15444;17649;7627;3646;7190;38435;85105;83420;35907;7291;1769;9808;313291
148;2023;Italiani + stranieri;25006 - Belluno;8381;7776;8290;9153;10171;11726;15366;17625;12709;10313;9030;9549;130089
149;2023;Italiani + stranieri;25007 - Borca di Cadore;7417;7401;5089;3276;2619;8762;16441;19111;8707;2691;767;6731;89012
150;2023;Italiani + stranieri;25008 - Calalzo di Cadore;1942;1108;867;1066;1547;4515;9389;9346;4561;1730;1116;2711;39898
151;2023;Italiani + stranieri;25010 - Cencenighe Agordino;47;312;76;141;70;258;1187;1198;699;196;173;165;4522
152;2023;Italiani + stranieri;25011 - Cesiomaggiore;172;129;165;348;279;513;1268;1549;678;263;146;231;5741
153;2023;Italiani + stranieri;25012 - Chies d'Alpago;677;489;426;657;582;707;1033;1401;726;734;754;752;8938
154;2023;Italiani + stranieri;25013 - Cibiana di Cadore;515;307;162;141;200;892;2081;2429;595;254;110;417;8103
155;2023;Italiani + stranieri;25014 - Colle Santa Lucia;1858;2193;1037;275;534;2234;3861;4086;2300;462;84;954;19878
156;2023;Italiani + stranieri;25015 - Comelico Superiore;7091;6854;3639;1374;1129;5817;20176;24081;7646;1591;457;5795;85650
157;2023;Italiani + stranieri;25016 - Cortina d'Ampezzo;112338;113105;87655;33734;30067;89940;151834;175198;96604;35587;13074;80747;1019883
158;2023;Italiani + stranieri;25017 - Danta di Cadore;178;91;0;20;52;192;891;1071;246;20;33;222;3016
159;2023;Italiani + stranieri;25018 - Domegge di Cadore;371;256;183;236;398;896;2059;2570;685;285;140;414;8493
160;2023;Italiani + stranieri;25019 - Falcade;40587;39797;21289;2997;1036;11758;50765;58959;15980;1207;1001;22227;267603
161;2023;Italiani + stranieri;25021 - Feltre;2613;2590;3108;4136;4313;5299;6059;7870;5643;4050;2949;3443;52073
162;2023;Italiani + stranieri;25022 - Fonzaso;164;102;189;127;204;227;548;723;366;208;196;163;3217
163;2023;Italiani + stranieri;25023 - Canale d'Agordo;2788;2566;878;1296;779;2801;10039;14013;3309;907;613;2820;42809
164;2023;Italiani + stranieri;25026 - Lamon;395;224;221;729;862;1084;2192;2536;1006;609;371;409;10638
165;2023;Italiani + stranieri;25029 - Limana;516;588;667;590;678;1197;1527;1697;683;531;517;642;9833
166;2023;Italiani + stranieri;25030 - Livinallongo del Col di Lana;62274;63858;48467;6820;2607;20393;51012;60305;21096;1690;355;45506;384383
167;2023;Italiani + stranieri;25032 - Lorenzago di Cadore;163;87;17;76;47;641;1510;1202;587;108;175;293;4906
168;2023;Italiani + stranieri;25033 - Lozzo di Cadore;219;281;134;167;218;596;1294;1207;430;145;135;258;5084
169;2023;Italiani + stranieri;25036 - Pedavena;385;291;347;482;358;742;1417;1628;1041;889;167;783;8530
170;2023;Italiani + stranieri;25037 - Perarolo di Cadore;368;241;139;279;194;482;1409;1322;473;179;93;429;5608
171;2023;Italiani + stranieri;25039 - Pieve di Cadore;2678;1934;1632;2285;2790;5180;13272;13721;5354;3612;2204;3777;58439
172;2023;Italiani + stranieri;25040 - Ponte nelle Alpi;1667;2307;2733;3336;2980;1954;2610;3023;2379;2308;1808;1004;28109
173;2023;Italiani + stranieri;25043 - Rivamonte Agordino;66;78;48;57;61;63;238;305;65;31;38;167;1217
174;2023;Italiani + stranieri;25044 - Rocca Pietore;24913;28494;17331;1280;1190;9115;36759;43794;10501;1097;258;12294;187026
175;2023;Italiani + stranieri;25045 - San Gregorio nelle Alpi;44;6;0;136;254;181;1073;789;157;62;23;100;2825
176;2023;Italiani + stranieri;25046 - San Nicolò di Comelico;865;684;291;308;424;976;1670;1914;846;490;111;629;9208
177;2023;Italiani + stranieri;25047 - San Pietro di Cadore;650;500;177;259;353;966;4087;5851;1207;200;190;510;14950
178;2023;Italiani + stranieri;25048 - Santa Giustina;702;212;411;517;344;1306;2251;2189;905;561;525;609;10532
179;2023;Italiani + stranieri;25049 - San Tomaso Agordino;277;324;93;67;128;357;661;856;306;38;20;281;3408
180;2023;Italiani + stranieri;25050 - Santo Stefano di Cadore;3550;2335;1063;2227;1028;4997;9860;14762;5255;1275;668;2818;49838
181;2023;Italiani + stranieri;25051 - San Vito di Cadore;17199;16405;11178;5712;3680;12956;28284;28914;12961;4255;2240;13493;157277
182;2023;Italiani + stranieri;25053 - Sedico;734;584;738;951;812;912;1254;1458;1196;504;547;690;10380
183;2023;Italiani + stranieri;25054 - Selva di Cadore;17762;17910;8885;1484;1379;8437;23908;31091;8290;1289;318;8196;128949
184;2023;Italiani + stranieri;25055 - Seren del Grappa;23;30;64;50;149;440;1127;1080;402;255;175;76;3871
185;2023;Italiani + stranieri;25056 - Sospirolo;1241;1156;1159;1398;1508;1572;2662;2985;1565;1186;974;993;18399
186;2023;Italiani + stranieri;25058 - Sovramonte;451;107;40;135;202;1332;5014;4265;784;308;140;814;13592
187;2023;Italiani + stranieri;25059 - Taibon Agordino;584;470;222;262;418;809;1912;2737;1646;649;776;629;11114
188;2023;Italiani + stranieri;25060 - Tambre;161;148;49;307;86;543;3304;3243;644;319;72;302;9178
189;2023;Italiani + stranieri;25062 - Vallada Agordina;148;143;170;79;91;94;299;854;61;30;29;110;2108
190;2023;Italiani + stranieri;25063 - Valle di Cadore;1916;1052;1177;1471;1717;2519;5368;5824;2711;1803;775;2141;28474
191;2023;Italiani + stranieri;25065 - Vigo di Cadore;294;96;98;137;200;906;6985;7902;1592;351;19;491;19071
192;2023;Italiani + stranieri;25066 - Vodo Cadore;1690;1647;966;641;906;1646;4228;4427;2061;1253;627;1902;21994
193;2023;Italiani + stranieri;25067 - Voltago Agordino;569;501;399;268;325;664;2365;1813;631;499;481;990;9505
194;2023;Italiani + stranieri;25069 - Zoppé di Cadore;160;155;85;103;200;166;278;337;164;54;34;99;1835
195;2023;Italiani + stranieri;25070 - Quero Vas;101;98;165;186;252;274;276;346;339;281;83;182;2583
196;2023;Italiani + stranieri;25071 - Longarone;181;229;583;467;729;1103;2149;2336;1443;711;676;437;11044
197;2023;Italiani + stranieri;25072 - Alpago;229;338;322;1957;3023;6253;10726;13509;3331;557;466;347;41058
198;2023;Italiani + stranieri;25073 - Val di Zoldo;30356;26793;15625;2993;2527;11929;37131;49014;10736;1581;1335;19354;209374
199;2023;Italiani + stranieri;25074 - Borgo Valbelluna;1229;838;1059;1649;1396;2941;5458;5534;1518;1514;991;1254;25381
