progressivo;anno;provenienza;Comuni;Gen Presenze;Feb Presenze;Mar Presenze;Apr Presenze;Mag Presenze;Giu Presenze;Lug Presenze;Ago Presenze;Set Presenze;Ott Presenze;Nov Presenze;Dic Presenze;Totale presenze
171;2022;Italiani + stranieri;25063 - Valle di Cadore;1331;1159;1006;951;1136;1941;4107;4935;1912;1147;1027;1435;22087
172;2022;Italiani + stranieri;25065 - Vigo di Cadore;269;143;77;31;81;932;5215;7371;1163;278;4;306;15870
173;2022;Italiani + stranieri;25066 - Vodo Cadore;1133;1121;739;615;399;1129;2663;2993;1364;914;576;1408;15054
174;2022;Italiani + stranieri;25067 - Voltago Agordino;192;165;200;215;182;641;2261;2236;752;297;405;812;8358
175;2022;Italiani + stranieri;25069 - Zoppé di Cadore;102;81;110;66;124;155;281;233;156;101;37;127;1573
176;2022;Italiani + stranieri;25070 - Quero Vas;107;115;170;186;239;192;358;340;175;243;116;164;2405
177;2022;Italiani + stranieri;25071 - Longarone;294;332;222;283;417;958;1559;1950;1238;569;440;376;8638
178;2022;Italiani + stranieri;25072 - Alpago;287;347;269;1450;2873;7412;10010;9620;2608;553;333;269;36031
179;2022;Italiani + stranieri;25073 - Val di Zoldo;21625;19446;14436;2769;2512;12069;37493;48070;9249;2163;1185;15233;186250
180;2022;Italiani + stranieri;25074 - Borgo Valbelluna;535;829;786;1093;1385;2353;3114;4789;2235;1523;948;1466;21056
