progressivo;anno;provenienza;"Comuni";"Gen Presenze";"Feb Presenze";"Mar Presenze";"Apr Presenze";"Mag Presenze";"Giu Presenze";"Lug Presenze";"Ago Presenze";"Set Presenze";"Ott Presenze";"Nov Presenze";"Dic Presenze";"Totale presenze"
1;2025;Italiani + stranieri;23001 - Affi;2937;3942;4791;7285;6983;9541;9182;10633;9152;6156;3939;3808;78349
2;2025;Italiani + stranieri;23004 - Arcole;299;272;175;229;131;124;186;142;199;298;240;281;2576
3;2025;Italiani + stranieri;23006 - Bardolino;12012;10203;32310;223539;272993;379849;470200;485664;355421;227269;24199;26649;2520308
4;2025;Italiani + stranieri;23009 - Bonavigo;29;75;94;225;179;175;194;136;235;50;70;168;1630
5;2025;Italiani + stranieri;23011 - Bosco Chiesanuova;1134;696;524;1324;1553;3174;10924;11465;2227;836;722;1324;35903
6;2025;Italiani + stranieri;23012 - Bovolone;1555;1091;1129;1061;846;1064;617;545;506;704;688;670;10476
7;2025;Italiani + stranieri;23013 - Brentino Belluno;86;65;176;373;731;1284;1792;2110;1249;350;186;214;8616
8;2025;Italiani + stranieri;23014 - Brenzone sul Garda;1661;1804;4275;26787;45826;76753;100855;108098;69294;22141;2264;2903;462661
9;2025;Italiani + stranieri;23015 - Bussolengo;10488;11686;22234;29721;32457;32910;33564;37604;31142;25903;13535;12991;294235
10;2025;Italiani + stranieri;23016 - Buttapietra;245;184;180;384;309;360;375;295;186;225;81;128;2952
11;2025;Italiani + stranieri;23017 - Caldiero;2736;2657;2612;3445;3420;3399;4729;4128;4803;3952;3135;1996;41012
12;2025;Italiani + stranieri;23018 - Caprino Veronese;878;969;2784;7144;9581;15103;21825;24638;13794;6967;1493;2299;107475
13;2025;Italiani + stranieri;23021 - Castel d'Azzano;2877;2826;4495;5559;6434;7120;8492;9179;7795;6470;4230;4129;69606
14;2025;Italiani + stranieri;23022 - Castelnuovo del Garda;11876;8582;12505;87426;88606;152332;208678;215974;118096;72070;11714;16632;1004491
15;2025;Italiani + stranieri;23023 - Cavaion Veronese;2395;2459;4104;12097;13000;16580;21597;23153;14821;8513;3781;4059;126559
16;2025;Italiani + stranieri;23024 - Cazzano di Tramigna;76;114;94;374;328;328;501;442;392;227;115;163;3154
17;2025;Italiani + stranieri;23025 - Cerea;503;446;723;362;572;761;680;563;999;667;686;478;7440
18;2025;Italiani + stranieri;23026 - Cerro Veronese;23;22;5;94;185;306;1146;1098;483;358;113;255;4088
19;2025;Italiani + stranieri;23027 - Cologna Veneta;141;35;44;93;151;166;179;192;145;138;98;82;1464
20;2025;Italiani + stranieri;23028 - Colognola ai Colli;1093;774;996;2095;2171;3022;3608;3633;2866;1650;1203;1199;24310
21;2025;Italiani + stranieri;23030 - Costermano sul Garda;1123;1440;8101;27248;30041;46707;64967;69233;42781;24306;2075;2180;320202
22;2025;Italiani + stranieri;23031 - Dolcé;358;460;582;598;480;521;769;976;740;514;468;376;6842
23;2025;Italiani + stranieri;23035 - Fumane;373;227;651;1628;1829;3662;5449;5824;2887;1704;601;624;25459
24;2025;Italiani + stranieri;23036 - Garda;5740;3383;13409;80780;112510;144319;171777;181983;135582;81731;9438;10267;950919
25;2025;Italiani + stranieri;23037 - Gazzo Veronese;164;136;88;149;240;160;151;62;199;165;222;117;1853
26;2025;Italiani + stranieri;23038 - Grezzana;447;589;805;1555;2129;2692;3421;3554;2912;1739;1206;861;21910
27;2025;Italiani + stranieri;23039 - Illasi;329;530;728;1345;1293;1776;2381;2506;1609;910;657;541;14605
28;2025;Italiani + stranieri;23040 - Isola della Scala;1122;1379;1567;1551;1634;1496;1382;1176;1674;1445;1568;1343;17337
29;2025;Italiani + stranieri;23043 - Lazise;17928;15226;43071;340317;364541;626108;831233;865014;559926;227145;31678;26760;3948947
30;2025;Italiani + stranieri;23044 - Legnago;2356;2529;2890;2875;3238;2838;2905;2020;3325;2812;2777;2319;32884
31;2025;Italiani + stranieri;23045 - Malcesine;1770;1334;5475;80131;129124;196445;244308;254799;185668;77479;2985;2816;1182334
32;2025;Italiani + stranieri;23046 - Marano di Valpolicella;141;129;362;645;612;828;1438;1538;1222;596;334;362;8207
33;2025;Italiani + stranieri;23047 - Mezzane di Sotto;545;354;594;1009;994;1281;2071;2227;1408;1065;538;648;12734
34;2025;Italiani + stranieri;23049 - Montecchia di Crosara;241;109;59;343;264;180;426;426;260;212;134;88;2742
35;2025;Italiani + stranieri;23052 - Negrar di Valpolicella;6296;7955;10224;14732;15583;16207;19850;19658;16706;13884;9275;8024;158394
36;2025;Italiani + stranieri;23053 - Nogara;498;624;643;700;842;979;1009;777;942;754;180;441;8389
37;2025;Italiani + stranieri;23054 - Nogarole Rocca;3317;3043;3415;4217;5378;5427;6448;6673;6183;4881;3645;2979;55606
38;2025;Italiani + stranieri;23055 - Oppeano;882;1073;1057;1579;1510;1303;1705;1585;1594;1557;1337;1187;16369
39;2025;Italiani + stranieri;23057 - Pastrengo;768;672;1511;5137;5316;7108;8976;9670;6706;4421;819;741;51845
40;2025;Italiani + stranieri;23058 - Pescantina;2986;2558;2891;3955;4159;4312;6080;6964;5169;3803;3114;3411;49402
41;2025;Italiani + stranieri;23059 - Peschiera del Garda;14919;13092;31057;240299;247254;392871;497077;499699;343291;213432;19029;22033;2534053
42;2025;Italiani + stranieri;23060 - Povegliano Veronese;101;132;139;371;269;340;385;324;374;447;175;264;3321
43;2025;Italiani + stranieri;23062 - Rivoli Veronese;268;187;362;2232;2269;3669;5404;5360;2910;1162;309;463;24595
44;2025;Italiani + stranieri;23064 - Ronco all'Adige;627;545;552;650;707;693;600;494;517;617;596;513;7111
45;2025;Italiani + stranieri;23068 - Salizzole;102;152;118;172;122;122;223;319;145;115;94;71;1755
46;2025;Italiani + stranieri;23069 - San Bonifacio;6780;6468;7036;8041;9173;8007;8288;8668;8788;8861;7146;6529;93785
47;2025;Italiani + stranieri;23070 - San Giovanni Ilarione;91;42;72;138;136;134;263;304;95;144;88;60;1567
48;2025;Italiani + stranieri;23071 - San Giovanni Lupatoto;7115;6580;9059;11061;10821;11500;14097;14944;12381;10217;8388;8387;124550
49;2025;Italiani + stranieri;23073 - San Martino Buon Albergo;7104;6880;8310;9629;9788;9477;11211;10618;10186;8743;7071;7326;106343
50;2025;Italiani + stranieri;23076 - San Pietro in Cariano;2897;2815;3506;7130;7775;8696;11586;11919;9154;5572;3988;3465;78503
51;2025;Italiani + stranieri;23077 - Sant'Ambrogio di Valpolicella;1282;1239;1572;3115;3345;4520;6929;7573;4411;2432;1321;1427;39166
52;2025;Italiani + stranieri;23078 - Sant'Anna d'Alfaedo;47;75;76;247;198;372;1004;1384;431;89;64;96;4083
53;2025;Italiani + stranieri;23079 - San Zeno di Montagna;1004;460;2812;17309;21602;25478;32498;34827;24275;14512;1839;1550;178166
54;2025;Italiani + stranieri;23080 - Selva di Progno;39;22;18;42;57;209;996;1251;357;69;18;62;3140
