progressivo;anno;ambito territoriale;dettaglio;Mese;Arrivi italiani;Arrivi stranieri;Presenze italiani;Presenze stranieri;Totale arrivi;Totale presenze
1;2025;STL;02 Belluno;Gennaio;6525;1671;18451;4524;8196;22975
2;2025;STL;02 Belluno;Febbraio;6260;1722;16771;4907;7982;21678
3;2025;STL;02 Belluno;Marzo;6104;1809;18162;5602;7913;23764
4;2025;STL;02 Belluno;Aprile;8940;3449;22118;9263;12389;31381
5;2025;STL;02 Belluno;Maggio;9715;6260;23885;15463;15975;39348
6;2025;STL;02 Belluno;Giugno;12344;11411;29319;26881;23755;56200
7;2025;STL;02 Belluno;Luglio;12563;16128;41078;44351;28691;85429
8;2025;STL;02 Belluno;Agosto;16461;16609;54134;44338;33070;98472
9;2025;STL;02 Belluno;Settembre;9766;10530;22633;20426;20296;43059
10;2025;STL;02 Belluno;Ottobre;7187;3809;18791;10219;10996;29010
11;2025;STL;02 Belluno;Novembre;5911;1757;16700;5298;7668;21998
12;2025;STL;02 Belluno;Dicembre;8262;2264;20305;6837;10526;27142
13;2025;STL;02 Belluno;TOTALE;110038;77419;302347;198109;187457;500456
