progressivo;anno;ambito territoriale;dettaglio;Mese;Arrivi italiani;Arrivi stranieri;Presenze italiani;Presenze stranieri;Totale arrivi;Totale presenze
1;2025;PROVINCIA;Belluno;Gennaio;52515;41991;214834;199342;94506;414176
2;2025;PROVINCIA;Belluno;Febbraio;44747;55609;163193;275636;100356;438829
3;2025;PROVINCIA;Belluno;Marzo;35542;34094;142354;149682;69636;292036
4;2025;PROVINCIA;Belluno;Aprile;19971;15989;77095;42007;35960;119102
5;2025;PROVINCIA;Belluno;Maggio;23197;32141;68390;69056;55338;137446
6;2025;PROVINCIA;Belluno;Giugno;54080;110986;156543;249324;165066;405867
7;2025;PROVINCIA;Belluno;Luglio;82945;147803;388310;365553;230748;753863
8;2025;PROVINCIA;Belluno;Agosto;109843;123911;557235;303702;233754;860937
9;2025;PROVINCIA;Belluno;Settembre;44119;110110;136315;236047;154229;372362
10;2025;PROVINCIA;Belluno;Ottobre;20884;34651;64117;79542;55535;143659
11;2025;PROVINCIA;Belluno;Novembre;14647;7671;54096;30209;22318;84305
12;2025;PROVINCIA;Belluno;Dicembre;58289;30338;194056;118053;88627;312109
13;2025;PROVINCIA;Belluno;TOTALE;560779;745294;2216538;2118153;1306073;4334691
