progressivo;anno;provenienza;"Comuni";"Gen Arrivi";"Feb Arrivi";"Mar Arrivi";"Apr Arrivi";"Mag Arrivi";"Giu Arrivi";"Lug Arrivi";"Ago Arrivi";"Set Arrivi";"Ott Arrivi";"Nov Arrivi";"Dic Arrivi";"Totale arrivi"
1;2025;Italiani + stranieri;23001 - Affi;1967;2475;2870;4751;4676;5463;4563;5055;6077;4419;2905;2714;47935
2;2025;Italiani + stranieri;23004 - Arcole;76;65;72;69;77;81;89;97;122;81;46;81;956
3;2025;Italiani + stranieri;23006 - Bardolino;4699;5565;14007;55709;61102;71655;78266;83151;63570;53308;10409;11987;513428
4;2025;Italiani + stranieri;23009 - Bonavigo;17;35;56;67;65;46;82;25;78;37;19;70;597
5;2025;Italiani + stranieri;23011 - Bosco Chiesanuova;577;419;224;452;741;1023;1215;1413;807;377;336;799;8383
6;2025;Italiani + stranieri;23012 - Bovolone;401;262;424;421;270;244;172;206;146;257;142;148;3093
7;2025;Italiani + stranieri;23013 - Brentino Belluno;54;28;70;239;545;836;1021;950;715;197;96;171;4922
8;2025;Italiani + stranieri;23014 - Brenzone sul Garda;668;884;1624;8278;14446;19470;22251;23015;16133;5825;952;1329;114875
9;2025;Italiani + stranieri;23015 - Bussolengo;2485;3563;8271;11766;14837;11542;11591;13755;12423;10260;4166;4516;109175
10;2025;Italiani + stranieri;23016 - Buttapietra;27;27;49;93;61;69;72;44;52;26;18;13;551
11;2025;Italiani + stranieri;23017 - Caldiero;923;870;993;1339;1412;1421;2081;1717;1828;1343;1176;742;15845
12;2025;Italiani + stranieri;23018 - Caprino Veronese;213;489;1357;3102;4280;5991;6762;7074;5086;3226;713;1060;39353
13;2025;Italiani + stranieri;23021 - Castel d'Azzano;1789;1743;2219;3134;4222;3977;4360;4419;4018;3582;2462;2463;38388
14;2025;Italiani + stranieri;23022 - Castelnuovo del Garda;6689;3743;5731;36743;36168;46833;48286;47960;34713;31190;5129;10003;313188
15;2025;Italiani + stranieri;23023 - Cavaion Veronese;1310;1622;2732;6032;6490;6713;6628;7328;5839;4171;2473;2522;53860
16;2025;Italiani + stranieri;23024 - Cazzano di Tramigna;46;88;86;209;244;209;247;191;221;159;90;112;1902
