progressivo;anno;ambito territoriale;dettaglio;Mese;Arrivi italiani;Arrivi stranieri;Presenze italiani;Presenze stranieri;Totale arrivi;Totale presenze
1;2025;STL;01 Dolomiti;Gennaio;45990;40320;196383;194818;86310;391201
2;2025;STL;01 Dolomiti;Febbraio;38487;53887;146422;270729;92374;417151
3;2025;STL;01 Dolomiti;Marzo;29438;32285;124192;144080;61723;268272
4;2025;STL;01 Dolomiti;Aprile;11031;12540;54977;32744;23571;87721
5;2025;STL;01 Dolomiti;Maggio;13482;25881;44505;53593;39363;98098
6;2025;STL;01 Dolomiti;Giugno;41736;99575;127224;222443;141311;349667
7;2025;STL;01 Dolomiti;Luglio;70382;131675;347232;321202;202057;668434
8;2025;STL;01 Dolomiti;Agosto;93382;107302;503101;259364;200684;762465
9;2025;STL;01 Dolomiti;Settembre;34353;99580;113682;215621;133933;329303
10;2025;STL;01 Dolomiti;Ottobre;13697;30842;45326;69323;44539;114649
11;2025;STL;01 Dolomiti;Novembre;8736;5914;37396;24911;14650;62307
12;2025;STL;01 Dolomiti;Dicembre;50027;28074;173751;111216;78101;284967
13;2025;STL;01 Dolomiti;TOTALE;450741;667875;1914191;1920044;1118616;3834235
