progressivo;anno;ambito territoriale;dettaglio;Mese;Arrivi italiani;Arrivi stranieri;Presenze italiani;Presenze stranieri;Totale arrivi;Totale presenze
1;2026, periodo Gennaio-Luglio;STL;01 Dolomiti;Gennaio;46153;41401;192782;194490;87554;387272
2;2026, periodo Gennaio-Luglio;STL;01 Dolomiti;Febbraio;33135;50278;149426;257067;83413;406493
3;2026, periodo Gennaio-Luglio;STL;01 Dolomiti;Marzo;23623;29616;116819;148780;53239;265599
4;2026, periodo Gennaio-Luglio;STL;01 Dolomiti;Aprile;10683;12556;45798;32482;23239;78280
5;2026, periodo Gennaio-Luglio;STL;01 Dolomiti;Maggio;16097;33403;44097;70762;49500;114859
6;2026, periodo Gennaio-Luglio;STL;01 Dolomiti;Giugno;39505;111058;125434;251836;150563;377270
7;2026, periodo Gennaio-Luglio;STL;01 Dolomiti;Luglio;74495;148656;345674;368744;223151;714418
8;2026, periodo Gennaio-Luglio;STL;01 Dolomiti;Agosto;0;0;0;0;0;0
9;2026, periodo Gennaio-Luglio;STL;01 Dolomiti;Settembre;0;0;0;0;0;0
10;2026, periodo Gennaio-Luglio;STL;01 Dolomiti;Ottobre;0;0;0;0;0;0
11;2026, periodo Gennaio-Luglio;STL;01 Dolomiti;Novembre;0;0;0;0;0;0
12;2026, periodo Gennaio-Luglio;STL;01 Dolomiti;Dicembre;0;0;0;0;0;0
13;2026, periodo Gennaio-Luglio;STL;01 Dolomiti;TOTALE;243691;426968;1020030;1324161;670659;2344191
