progressivo;anno;ambito territoriale;dettaglio;Mese;Arrivi italiani;Arrivi stranieri;Presenze italiani;Presenze stranieri;Totale arrivi;Totale presenze
1;2026, periodo Gennaio-Luglio;STL;02 Belluno;Gennaio;6421;1777;19017;5400;8198;24417
2;2026, periodo Gennaio-Luglio;STL;02 Belluno;Febbraio;5591;2426;18680;6716;8017;25396
3;2026, periodo Gennaio-Luglio;STL;02 Belluno;Marzo;5534;1668;17338;4393;7202;21731
4;2026, periodo Gennaio-Luglio;STL;02 Belluno;Aprile;7752;3776;17692;9745;11528;27437
5;2026, periodo Gennaio-Luglio;STL;02 Belluno;Maggio;10172;7369;22394;17883;17541;40277
6;2026, periodo Gennaio-Luglio;STL;02 Belluno;Giugno;12560;11481;28162;26667;24041;54829
7;2026, periodo Gennaio-Luglio;STL;02 Belluno;Luglio;13809;18464;41187;49610;32273;90797
8;2026, periodo Gennaio-Luglio;STL;02 Belluno;Agosto;0;0;0;0;0;0
9;2026, periodo Gennaio-Luglio;STL;02 Belluno;Settembre;0;0;0;0;0;0
10;2026, periodo Gennaio-Luglio;STL;02 Belluno;Ottobre;0;0;0;0;0;0
11;2026, periodo Gennaio-Luglio;STL;02 Belluno;Novembre;0;0;0;0;0;0
12;2026, periodo Gennaio-Luglio;STL;02 Belluno;Dicembre;0;0;0;0;0;0
13;2026, periodo Gennaio-Luglio;STL;02 Belluno;TOTALE;61839;46961;164470;120414;108800;284884
