progressivo;anno;provenienza;"Comuni";"Gen Arrivi";"Feb Arrivi";"Mar Arrivi";"Apr Arrivi";"Mag Arrivi";"Giu Arrivi";"Lug Arrivi";"Ago Arrivi";"Set Arrivi";"Ott Arrivi";"Nov Arrivi";"Dic Arrivi";"Totale arrivi"
1;2026;Italiani + stranieri;23001 - Affi;2843;2895;3189;4875;6386;5339;6218;0;0;0;0;0;31745
2;2026;Italiani + stranieri;23004 - Arcole;66;50;53;74;63;65;62;0;0;0;0;0;433
3;2026;Italiani + stranieri;23006 - Bardolino;4738;6351;22136;60333;72261;68406;77386;0;0;0;0;0;311611
4;2026;Italiani + stranieri;23009 - Bonavigo;40;18;27;56;64;73;50;0;0;0;0;0;328
5;2026;Italiani + stranieri;23011 - Bosco Chiesanuova;512;487;473;564;731;947;1387;0;0;0;0;0;5101
6;2026;Italiani + stranieri;23012 - Bovolone;453;325;180;82;75;625;732;0;0;0;0;0;2472
7;2026;Italiani + stranieri;23013 - Brentino Belluno;76;75;115;435;680;544;1065;0;0;0;0;0;2990
8;2026;Italiani + stranieri;23014 - Brenzone sul Garda;709;965;2117;7826;15327;16580;21903;0;0;0;0;0;65427
9;2026;Italiani + stranieri;23016 - Buttapietra;16;27;9;28;26;24;19;0;0;0;0;0;149
10;2026;Italiani + stranieri;23017 - Caldiero;921;1110;1098;1576;1940;1861;2464;0;0;0;0;0;10970
11;2026;Italiani + stranieri;23018 - Caprino Veronese;404;586;990;3278;5120;5076;7234;0;0;0;0;0;22688
12;2026;Italiani + stranieri;23019 - Casaleone;73;78;96;107;156;121;79;0;0;0;0;0;710
13;2026;Italiani + stranieri;23021 - Castel d'Azzano;2089;2459;2515;3155;4520;3409;4357;0;0;0;0;0;22504
14;2026;Italiani + stranieri;23022 - Castelnuovo del Garda;6340;4989;9390;34585;39110;39828;49438;0;0;0;0;0;183680
15;2026;Italiani + stranieri;23023 - Cavaion Veronese;1108;1838;2493;4206;4785;5518;6327;0;0;0;0;0;26275
16;2026;Italiani + stranieri;23024 - Cazzano di Tramigna;53;71;87;171;209;201;189;0;0;0;0;0;981
17;2026;Italiani + stranieri;23028 - Colognola ai Colli;651;557;649;1072;1142;1083;1184;0;0;0;0;0;6338
18;2026;Italiani + stranieri;23030 - Costermano sul Garda;306;718;4210;8917;11692;11693;14633;0;0;0;0;0;52169
19;2026;Italiani + stranieri;23031 - Dolcé;92;91;149;200;223;250;412;0;0;0;0;0;1417
20;2026;Italiani + stranieri;23036 - Garda;2144;1791;7832;26719;31256;29181;36666;0;0;0;0;0;135589
21;2026;Italiani + stranieri;23037 - Gazzo Veronese;52;33;35;51;62;60;44;0;0;0;0;0;337
22;2026;Italiani + stranieri;23038 - Grezzana;320;526;659;1092;1228;1279;1464;0;0;0;0;0;6568
23;2026;Italiani + stranieri;23039 - Illasi;100;233;377;461;673;690;1013;0;0;0;0;0;3547
24;2026;Italiani + stranieri;23040 - Isola della Scala;97;127;144;166;180;143;162;0;0;0;0;0;1019
25;2026;Italiani + stranieri;23042 - Lavagno;110;112;139;235;297;340;286;0;0;0;0;0;1519
26;2026;Italiani + stranieri;23043 - Lazise;9384;8964;31601;93486;113134;103295;133551;0;0;0;0;0;493415
27;2026;Italiani + stranieri;23044 - Legnago;1125;1133;1356;1633;1762;1732;1751;0;0;0;0;0;10492
28;2026;Italiani + stranieri;23045 - Malcesine;516;732;5257;26709;42225;43720;54211;0;0;0;0;0;173370
29;2026;Italiani + stranieri;23046 - Marano di Valpolicella;121;161;220;454;505;399;586;0;0;0;0;0;2446
30;2026;Italiani + stranieri;23047 - Mezzane di Sotto;137;214;318;506;605;508;818;0;0;0;0;0;3106
31;2026;Italiani + stranieri;23049 - Montecchia di Crosara;86;42;62;141;141;92;135;0;0;0;0;0;699
32;2026;Italiani + stranieri;23052 - Negrar di Valpolicella;2129;2377;1554;8567;9976;6731;6717;0;0;0;0;0;38051
33;2026;Italiani + stranieri;23053 - Nogara;318;340;263;327;312;341;180;0;0;0;0;0;2081
34;2026;Italiani + stranieri;23054 - Nogarole Rocca;1297;1499;1051;2048;2114;1775;3063;0;0;0;0;0;12847
35;2026;Italiani + stranieri;23055 - Oppeano;311;315;330;380;511;397;365;0;0;0;0;0;2609
36;2026;Italiani + stranieri;23057 - Pastrengo;428;471;1012;2319;1223;1130;1554;0;0;0;0;0;8137
37;2026;Italiani + stranieri;23058 - Pescantina;2049;2107;1949;2829;3229;2837;3459;0;0;0;0;0;18459
38;2026;Italiani + stranieri;23059 - Peschiera del Garda;6419;7538;22677;67833;79377;77555;90543;0;0;0;0;0;351942
39;2026;Italiani + stranieri;23064 - Ronco all'Adige;135;132;131;147;163;64;100;0;0;0;0;0;872
40;2026;Italiani + stranieri;23068 - Salizzole;5;3;21;46;48;12;29;0;0;0;0;0;164
41;2026;Italiani + stranieri;23069 - San Bonifacio;2267;2808;2721;3343;3629;3296;3541;0;0;0;0;0;21605
42;2026;Italiani + stranieri;23070 - San Giovanni Ilarione;29;5;8;58;58;59;45;0;0;0;0;0;262
43;2026;Italiani + stranieri;23071 - San Giovanni Lupatoto;3815;3697;3579;5132;4620;4773;7618;0;0;0;0;0;33234
44;2026;Italiani + stranieri;23072 - Sanguinetto;16;9;27;28;37;31;86;0;0;0;0;0;234
45;2026;Italiani + stranieri;23073 - San Martino Buon Albergo;3385;2288;1757;3507;7551;3301;3779;0;0;0;0;0;25568
46;2026;Italiani + stranieri;23076 - San Pietro in Cariano;1652;1766;1663;3313;3560;3516;5178;0;0;0;0;0;20648
47;2026;Italiani + stranieri;23077 - Sant'Ambrogio di Valpolicella;431;469;557;1418;1651;1519;2633;0;0;0;0;0;8678
48;2026;Italiani + stranieri;23079 - San Zeno di Montagna;525;172;1459;7352;9828;7646;10483;0;0;0;0;0;37465
49;2026;Italiani + stranieri;23081 - Soave;1779;2405;2673;3674;4407;3450;3516;0;0;0;0;0;21904
50;2026;Italiani + stranieri;23082 - Sommacampagna;4008;4069;4158;4645;6040;5458;6417;0;0;0;0;0;34795
51;2026;Italiani + stranieri;23083 - Sona;358;237;370;1969;2351;2379;2506;0;0;0;0;0;10170
52;2026;Italiani + stranieri;23084 - Sorgà;38;42;28;78;96;91;119;0;0;0;0;0;492
53;2026;Italiani + stranieri;23086 - Torri del Benaco;528;825;4073;11630;16726;17080;22372;0;0;0;0;0;73234
54;2026;Italiani + stranieri;23087 - Tregnago;190;254;362;455;505;504;605;0;0;0;0;0;2875
55;2026;Italiani + stranieri;23089 - Valeggio sul Mincio;1882;2198;3317;11377;19903;14930;22604;0;0;0;0;0;76211
56;2026;Italiani + stranieri;23090 - Velo Veronese;135;142;99;241;315;461;672;0;0;0;0;0;2065
57;2026;Italiani + stranieri;23091 - Verona;84685;94164;107132;142102;161520;148135;191719;0;0;0;0;0;929457
58;2026;Italiani + stranieri;23094 - Vigasio;1669;2038;2454;2617;2996;2556;2862;0;0;0;0;0;17192
59;2026;Italiani + stranieri;23095 - Villa Bartolomea;493;711;653;898;1318;1180;1115;0;0;0;0;0;6368
60;2026;Italiani + stranieri;23096 - Villafranca di Verona;9153;11594;12124;12165;12906;12684;15367;0;0;0;0;0;85993
61;2026;Italiani + stranieri;23097 - Zevio;511;758;746;868;1314;1011;1218;0;0;0;0;0;6426
62;2026;Italiani + stranieri;23098 - Zimella;44;26;29;48;47;66;110;0;0;0;0;0;370
63;2026;Italiani + stranieri;24001 - Agugliaro;74;12;58;50;82;64;106;0;0;0;0;0;446
64;2026;Italiani + stranieri;24004 - Altavilla Vicentina;2033;2604;2708;3336;3659;3147;3309;0;0;0;0;0;20796
65;2026;Italiani + stranieri;24005 - Altissimo;47;44;72;34;48;68;71;0;0;0;0;0;384
66;2026;Italiani + stranieri;24006 - Arcugnano;542;438;617;1017;1353;1165;1509;0;0;0;0;0;6641
67;2026;Italiani + stranieri;24007 - Arsiero;267;189;227;260;418;448;390;0;0;0;0;0;2199
68;2026;Italiani + stranieri;24008 - Arzignano;176;170;230;214;223;187;188;0;0;0;0;0;1388
69;2026;Italiani + stranieri;24009 - Asiago;8596;8896;2549;2832;4558;5774;9566;0;0;0;0;0;42771
70;2026;Italiani + stranieri;24012 - Bassano del Grappa;5352;6981;6603;8641;9813;9089;10444;0;0;0;0;0;56923
71;2026;Italiani + stranieri;24013 - Bolzano Vicentino;631;743;598;1294;1284;1178;864;0;0;0;0;0;6592
72;2026;Italiani + stranieri;24014 - Breganze;187;161;165;215;282;246;326;0;0;0;0;0;1582
73;2026;Italiani + stranieri;24015 - Brendola;140;117;147;178;174;168;181;0;0;0;0;0;1105
74;2026;Italiani + stranieri;24017 - Brogliano;138;153;168;208;195;142;150;0;0;0;0;0;1154
75;2026;Italiani + stranieri;24020 - Calvene;31;11;20;32;41;10;48;0;0;0;0;0;193
