progressivo;anno;provenienza;"Comuni";"Gen Presenze";"Feb Presenze";"Mar Presenze";"Apr Presenze";"Mag Presenze";"Giu Presenze";"Lug Presenze";"Ago Presenze";"Set Presenze";"Ott Presenze";"Nov Presenze";"Dic Presenze";"Totale presenze"
1;2026;Italiani + stranieri;23001 - Affi;4082;4035;4817;7316;8984;8386;11492;0;0;0;0;0;49112
2;2026;Italiani + stranieri;23004 - Arcole;264;217;219;250;135;108;155;0;0;0;0;0;1348
3;2026;Italiani + stranieri;23006 - Bardolino;13477;11479;59729;227508;312963;358659;456001;0;0;0;0;0;1439816
4;2026;Italiani + stranieri;23009 - Bonavigo;141;33;61;116;105;129;119;0;0;0;0;0;704
5;2026;Italiani + stranieri;23011 - Bosco Chiesanuova;930;728;1176;1030;1364;3573;11095;0;0;0;0;0;19896
6;2026;Italiani + stranieri;23012 - Bovolone;1257;883;883;534;390;1463;1944;0;0;0;0;0;7354
7;2026;Italiani + stranieri;23013 - Brentino Belluno;123;151;188;706;1006;838;1946;0;0;0;0;0;4958
8;2026;Italiani + stranieri;23014 - Brenzone sul Garda;1927;1967;5939;25193;51951;66899;99146;0;0;0;0;0;253022
9;2026;Italiani + stranieri;23016 - Buttapietra;66;164;123;154;69;132;98;0;0;0;0;0;806
10;2026;Italiani + stranieri;23017 - Caldiero;2720;2776;3488;4403;4931;4668;5903;0;0;0;0;0;28889
11;2026;Italiani + stranieri;23018 - Caprino Veronese;1412;1330;2141;7525;12230;14826;22891;0;0;0;0;0;62355
12;2026;Italiani + stranieri;23019 - Casaleone;228;261;260;267;305;279;436;0;0;0;0;0;2036
13;2026;Italiani + stranieri;23021 - Castel d'Azzano;3805;4840;4379;5956;7197;6439;8520;0;0;0;0;0;41136
14;2026;Italiani + stranieri;23022 - Castelnuovo del Garda;12700;12039;20109;84634;106725;134995;220299;0;0;0;0;0;591501
15;2026;Italiani + stranieri;23023 - Cavaion Veronese;2180;2577;4421;8956;11045;14126;21415;0;0;0;0;0;64720
