progressivo;anno;provenienza;"Comuni";"Gen Arrivi";"Feb Arrivi";"Mar Arrivi";"Apr Arrivi";"Mag Arrivi";"Giu Arrivi";"Lug Arrivi";"Ago Arrivi";"Set Arrivi";"Ott Arrivi";"Nov Arrivi";"Dic Arrivi";"Totale arrivi"
1;2023;Italiani + stranieri;23001 - Affi;2690;2589;3192;4627;4589;4132;5211;4557;4939;3996;2578;2655;45755
2;2023;Italiani + stranieri;23004 - Arcole;62;41;41;70;85;72;51;62;61;29;60;41;675
3;2023;Italiani + stranieri;23005 - Badia Calavena;7;14;27;96;30;57;95;108;110;45;22;57;668
4;2023;Italiani + stranieri;23006 - Bardolino;4629;5791;15192;58525;55793;68933;74862;73313;68128;42581;7756;9176;484679
5;2023;Italiani + stranieri;23009 - Bonavigo;26;30;56;79;45;57;78;90;99;55;22;36;673
6;2023;Italiani + stranieri;23011 - Bosco Chiesanuova;439;498;170;524;259;602;1059;1253;597;232;179;596;6408
7;2023;Italiani + stranieri;23013 - Brentino Belluno;45;46;96;393;468;625;815;859;677;160;44;70;4298
8;2023;Italiani + stranieri;23014 - Brenzone sul Garda;692;774;1460;9581;12427;16278;21283;21174;16567;5410;634;1093;107373
9;2023;Italiani + stranieri;23015 - Bussolengo;3274;3208;6181;12874;12623;12068;14508;14275;13319;9559;4011;5000;110900
10;2023;Italiani + stranieri;23016 - Buttapietra;102;73;44;76;31;48;63;42;63;69;89;51;751
11;2023;Italiani + stranieri;23017 - Caldiero;689;619;651;953;1008;906;1108;914;1077;747;758;526;9956
12;2023;Italiani + stranieri;23018 - Caprino Veronese;238;216;932;3437;3210;3532;4836;5363;4080;2792;1065;995;30696
13;2023;Italiani + stranieri;23021 - Castel d'Azzano;1362;1062;1054;3390;3135;3044;4464;4934;4389;3258;2359;2152;34603
14;2023;Italiani + stranieri;23022 - Castelnuovo del Garda;6007;2834;6046;37595;32982;44907;46222;45105;37263;21143;4236;8093;292433
15;2023;Italiani + stranieri;23023 - Cavaion Veronese;750;789;1480;4564;4442;5707;7182;6853;5890;3603;2176;2853;46289
16;2023;Italiani + stranieri;23024 - Cazzano di Tramigna;94;117;92;236;197;176;253;157;277;142;118;110;1969
17;2023;Italiani + stranieri;23025 - Cerea;69;90;119;187;182;208;140;147;286;207;146;123;1904
18;2023;Italiani + stranieri;23026 - Cerro Veronese;0;2;0;66;23;26;102;145;53;38;45;12;512
19;2023;Italiani + stranieri;23027 - Cologna Veneta;73;52;75;88;62;58;86;65;108;69;58;56;850
20;2023;Italiani + stranieri;23028 - Colognola ai Colli;478;446;553;953;880;910;994;1109;1074;819;655;594;9465
21;2023;Italiani + stranieri;23030 - Costermano sul Garda;588;1613;3778;9656;8478;10304;13480;13359;10408;6325;560;864;79413
22;2023;Italiani + stranieri;23031 - Dolcé;123;112;106;284;215;299;275;358;269;196;122;96;2455
23;2023;Italiani + stranieri;23035 - Fumane;184;189;351;1123;806;1314;1866;1548;1332;822;297;473;10305
24;2023;Italiani + stranieri;23036 - Garda;1453;1284;4769;25428;24237;26523;33541;34570;30285;17706;2067;3677;205540
25;2023;Italiani + stranieri;23037 - Gazzo Veronese;27;24;44;38;46;34;75;16;77;39;37;31;488
26;2023;Italiani + stranieri;23038 - Grezzana;155;126;376;908;834;927;1068;1040;1304;710;571;362;8381
27;2023;Italiani + stranieri;23039 - Illasi;79;253;301;445;466;651;904;882;685;323;94;274;5357
28;2023;Italiani + stranieri;23040 - Isola della Scala;123;93;113;162;169;146;199;159;263;159;131;120;1837
29;2023;Italiani + stranieri;23043 - Lazise;5789;6043;21283;98934;87081;103467;127870;125099;112348;57361;12572;13964;771811
30;2023;Italiani + stranieri;23044 - Legnago;1101;1255;1322;1351;1656;1598;1471;977;1867;1445;1438;1200;16681
31;2023;Italiani + stranieri;23045 - Malcesine;676;720;3216;28107;30296;36847;49281;46943;40799;17101;769;1054;255809
32;2023;Italiani + stranieri;23046 - Marano di Valpolicella;127;179;207;545;406;490;690;655;563;341;181;243;4627
33;2023;Italiani + stranieri;23047 - Mezzane di Sotto;95;143;158;401;216;394;488;496;455;296;231;254;3627
34;2023;Italiani + stranieri;23049 - Montecchia di Crosara;54;35;38;110;118;141;204;196;184;103;105;59;1347
35;2023;Italiani + stranieri;23052 - Negrar di Valpolicella;1575;2004;3365;6516;6452;5850;4899;5251;5896;4658;2881;2861;52208
36;2023;Italiani + stranieri;23053 - Nogara;285;318;380;409;463;449;370;253;409;376;403;296;4411
37;2023;Italiani + stranieri;23054 - Nogarole Rocca;1160;1268;1586;2593;2369;2589;2912;3008;2835;2013;1605;1393;25331
38;2023;Italiani + stranieri;23055 - Oppeano;384;354;350;350;499;374;390;296;503;401;392;273;4566
39;2023;Italiani + stranieri;23057 - Pastrengo;290;230;840;2283;1933;1999;2752;2885;2468;1567;418;381;18046
40;2023;Italiani + stranieri;23058 - Pescantina;1741;1777;1851;2342;2261;2361;2791;2798;2892;2521;2029;2263;27627
41;2023;Italiani + stranieri;23059 - Peschiera del Garda;5486;4834;16115;68930;57711;71206;81659;78636;70746;48619;9141;10208;523291
42;2023;Italiani + stranieri;23060 - Povegliano Veronese;15;9;27;77;56;187;230;216;202;131;69;95;1314
43;2023;Italiani + stranieri;23062 - Rivoli Veronese;116;130;315;1051;765;1319;1736;1812;1175;410;149;263;9241
44;2023;Italiani + stranieri;23064 - Ronco all'Adige;152;99;148;211;200;209;190;155;145;151;164;122;1946
45;2023;Italiani + stranieri;23067 - Roveré Veronese;53;45;53;140;79;169;213;233;126;72;57;50;1290
46;2023;Italiani + stranieri;23068 - Salizzole;45;30;38;59;23;45;57;22;24;8;48;34;433
47;2023;Italiani + stranieri;23069 - San Bonifacio;2374;2217;2521;3419;3048;3006;3180;3057;3218;2796;2634;2195;33665
48;2023;Italiani + stranieri;23070 - San Giovanni Ilarione;9;13;14;24;18;4;26;3;33;18;32;26;220
49;2023;Italiani + stranieri;23071 - San Giovanni Lupatoto;2593;2906;2951;4230;3951;5314;5881;6007;6117;5398;4344;5275;54967
50;2023;Italiani + stranieri;23073 - San Martino Buon Albergo;2927;3003;3975;5828;6087;6188;5988;6365;5436;4788;3538;3886;58009
51;2023;Italiani + stranieri;23074 - San Mauro di Saline;0;0;21;54;28;64;69;85;68;34;16;16;455
52;2023;Italiani + stranieri;23076 - San Pietro in Cariano;1160;1056;1338;3112;3018;3425;4402;4782;4094;2726;1785;1744;32642
53;2023;Italiani + stranieri;23077 - Sant'Ambrogio di Valpolicella;354;335;473;1359;1075;1465;2502;2431;1924;970;644;518;14050
54;2023;Italiani + stranieri;23078 - Sant'Anna d'Alfaedo;17;28;40;127;75;195;133;144;162;76;49;53;1099
55;2023;Italiani + stranieri;23079 - San Zeno di Montagna;56;117;1635;7844;7397;7929;10474;12744;8929;4874;621;723;63343
56;2023;Italiani + stranieri;23080 - Selva di Progno;24;5;9;61;46;124;201;308;159;22;36;31;1026
57;2023;Italiani + stranieri;23081 - Soave;1457;1843;1356;3664;4025;4197;4083;2556;4392;3699;2940;1997;36209
58;2023;Italiani + stranieri;23082 - Sommacampagna;3386;3392;4025;5402;5230;5592;6024;5678;6454;5160;3949;4131;58423
59;2023;Italiani + stranieri;23084 - Sorgà;35;41;55;107;81;65;97;117;92;64;61;68;883
60;2023;Italiani + stranieri;23086 - Torri del Benaco;141;167;1626;11814;11508;15123;18579;19010;16256;7184;1011;1260;103679
61;2023;Italiani + stranieri;23087 - Tregnago;186;221;373;518;374;473;479;521;588;471;313;329;4846
62;2023;Italiani + stranieri;23089 - Valeggio sul Mincio;2097;2071;3032;12905;12993;15996;19085;18372;10571;4096;2553;2722;106493
63;2023;Italiani + stranieri;23090 - Velo Veronese;131;88;89;302;120;393;790;674;267;81;69;138;3142
64;2023;Italiani + stranieri;23091 - Verona;76811;73539;89477;133782;130186;134126;163665;168645;151937;128637;91221;98926;1440952
65;2023;Italiani + stranieri;23093 - Vestenanova;5;0;10;45;40;45;55;106;117;3;2;19;447
66;2023;Italiani + stranieri;23094 - Vigasio;1270;1224;134;1937;1814;2385;2585;2523;1890;1701;1181;1244;19888
67;2023;Italiani + stranieri;23095 - Villa Bartolomea;411;482;878;844;997;1060;1060;531;1319;867;757;687;9893
68;2023;Italiani + stranieri;23096 - Villafranca di Verona;8200;9939;12462;17211;19104;18582;19690;19185;18960;17170;11632;9699;181834
69;2023;Italiani + stranieri;23097 - Zevio;454;406;588;928;894;923;1101;818;1072;753;595;537;9069
70;2023;Italiani + stranieri;24001 - Agugliaro;86;33;75;87;66;100;91;78;92;57;51;71;887
71;2023;Italiani + stranieri;24004 - Altavilla Vicentina;1797;2116;2289;3237;3448;3609;3306;2847;3451;3554;2750;2728;35132
72;2023;Italiani + stranieri;24005 - Altissimo;51;54;51;95;90;117;136;96;107;60;82;42;981
73;2023;Italiani + stranieri;24006 - Arcugnano;544;531;550;1257;1235;1342;1469;1400;1344;1052;558;600;11882
74;2023;Italiani + stranieri;24007 - Arsiero;176;235;137;154;248;361;404;513;358;238;200;193;3217
75;2023;Italiani + stranieri;24008 - Arzignano;179;160;199;204;198;218;220;103;233;217;204;186;2321
76;2023;Italiani + stranieri;24009 - Asiago;8415;7695;2952;2901;2157;5857;9457;9615;7435;2838;2122;7721;69165
77;2023;Italiani + stranieri;24012 - Bassano del Grappa;4396;4467;5661;7361;7862;8265;7899;8112;8829;7395;5261;6056;81564
78;2023;Italiani + stranieri;24013 - Bolzano Vicentino;655;710;754;1316;1353;1158;990;718;1080;1057;581;733;11105
79;2023;Italiani + stranieri;24014 - Breganze;133;100;129;148;181;152;146;114;127;93;101;133;1557
80;2023;Italiani + stranieri;24017 - Brogliano;136;102;164;132;188;148;157;54;190;163;135;83;1652
81;2023;Italiani + stranieri;24020 - Calvene;24;9;13;13;11;18;28;49;31;4;7;35;242
82;2023;Italiani + stranieri;24021 - Camisano Vicentino;14;7;19;26;27;15;12;25;15;13;9;16;198
83;2023;Italiani + stranieri;24026 - Cassola;1288;1110;1487;1643;1613;1544;1598;1682;1758;1654;1360;1579;18316
84;2023;Italiani + stranieri;24027 - Castegnero;91;41;147;285;198;269;289;267;243;199;60;110;2199
85;2023;Italiani + stranieri;24028 - Castelgomberto;61;52;54;96;92;80;108;127;112;114;56;64;1016
86;2023;Italiani + stranieri;24034 - Cornedo Vicentino;103;100;128;139;158;122;147;56;163;172;149;158;1595
87;2023;Italiani + stranieri;24035 - Costabissara;174;113;182;165;190;194;154;110;213;217;177;165;2054
88;2023;Italiani + stranieri;24036 - Creazzo;3049;2983;2815;3039;3392;3142;3319;2639;3080;3087;2445;2660;35650
89;2023;Italiani + stranieri;24038 - Dueville;113;118;141;168;131;127;177;178;187;146;131;129;1746
90;2023;Italiani + stranieri;24039 - Enego;70;52;6;16;32;70;308;275;79;10;9;94;1021
91;2023;Italiani + stranieri;24040 - Fara Vicentino;119;104;133;230;204;161;250;225;143;67;18;90;1744
92;2023;Italiani + stranieri;24041 - Foza;52;73;19;27;27;56;275;184;89;23;5;154;984
93;2023;Italiani + stranieri;24042 - Gallio;1375;1550;397;433;309;899;2090;1653;1338;433;225;1281;11983
94;2023;Italiani + stranieri;24046 - Grisignano di Zocco;552;613;622;897;1364;1440;1627;1243;1437;1555;939;880;13169
95;2023;Italiani + stranieri;24047 - Grumolo delle Abbadesse;928;985;1029;1050;1070;1145;979;390;1219;1013;943;868;11619
96;2023;Italiani + stranieri;24048 - Isola Vicentina;24;40;50;46;46;55;80;93;94;114;93;60;795
97;2023;Italiani + stranieri;24052 - Lonigo;851;683;968;1113;1103;1172;1290;695;1354;1113;883;490;11715
98;2023;Italiani + stranieri;24053 - Lugo di Vicenza;62;92;63;118;124;107;147;109;126;111;92;106;1257
99;2023;Italiani + stranieri;24055 - Malo;633;564;741;804;953;969;909;489;995;938;766;763;9524
100;2023;Italiani + stranieri;24056 - Marano Vicentino;102;83;97;96;101;80;84;34;127;113;86;72;1075
101;2023;Italiani + stranieri;24057 - Marostica;443;427;666;831;731;780;1047;459;843;702;577;555;8061
102;2023;Italiani + stranieri;24060 - Montebello Vicentino;579;565;575;894;752;607;878;790;762;733;562;523;8220
103;2023;Italiani + stranieri;24061 - Montecchio Maggiore;2514;2632;2922;4350;5202;4552;5027;3893;4808;5070;3961;2984;47915
104;2023;Italiani + stranieri;24062 - Montecchio Precalcino;4;1;2;4;1;0;0;4;1;1;2;3;23
105;2023;Italiani + stranieri;24064 - Montegalda;96;66;118;218;187;247;282;257;282;172;117;116;2158
106;2023;Italiani + stranieri;24065 - Montegaldella;36;33;30;65;46;55;49;46;34;39;20;25;478
107;2023;Italiani + stranieri;24066 - Monteviale;6;6;12;14;19;24;12;9;10;9;2;10;133
108;2023;Italiani + stranieri;24067 - Monticello Conte Otto;137;105;153;193;186;204;164;100;168;116;99;52;1677
109;2023;Italiani + stranieri;24068 - Montorso Vicentino;93;66;107;119;117;87;101;141;131;1;103;89;1155
110;2023;Italiani + stranieri;24071 - Nanto;8;10;26;42;34;30;63;31;24;40;20;8;336
111;2023;Italiani + stranieri;24079 - Poiana Maggiore;20;24;42;44;47;32;53;46;47;47;39;29;470
112;2023;Italiani + stranieri;24080 - Posina;89;17;15;19;65;225;476;328;171;86;44;49;1584
113;2023;Italiani + stranieri;24081 - Pove del Grappa;218;154;221;306;337;391;371;295;401;387;244;285;3610
114;2023;Italiani + stranieri;24083 - Quinto Vicentino;64;62;47;54;50;49;47;60;61;68;52;69;683
115;2023;Italiani + stranieri;24084 - Recoaro Terme;295;354;345;362;272;514;926;866;741;345;280;316;5616
116;2023;Italiani + stranieri;24085 - Roana;2964;2464;820;835;712;1867;3558;3783;1650;390;314;2006;21363
117;2023;Italiani + stranieri;24086 - Romano d'Ezzelino;100;99;120;324;403;378;534;552;477;465;150;370;3972
118;2023;Italiani + stranieri;24087 - Rosà;115;93;129;178;153;192;290;275;207;220;151;130;2133
119;2023;Italiani + stranieri;24089 - Rotzo;132;137;73;39;52;48;82;72;106;45;50;126;962
120;2023;Italiani + stranieri;24091 - Sandrigo;583;668;822;572;626;788;718;197;929;939;492;670;8004
121;2023;Italiani + stranieri;24095 - Santorso;182;159;217;230;245;213;211;122;271;229;194;170;2443
122;2023;Italiani + stranieri;24097 - Sarcedo;95;94;124;107;101;113;180;162;180;145;125;174;1600
123;2023;Italiani + stranieri;24098 - Sarego;136;114;142;125;154;159;170;125;178;121;115;110;1649
124;2023;Italiani + stranieri;24100 - Schio;2045;1885;2517;2611;2742;3029;3485;2557;3125;2565;2101;2203;30865
125;2023;Italiani + stranieri;24101 - Solagna;6;4;81;649;338;157;310;434;395;201;39;42;2656
126;2023;Italiani + stranieri;24103 - Sovizzo;14;0;12;20;22;17;7;32;31;0;15;6;176
127;2023;Italiani + stranieri;24104 - Tezze sul Brenta;743;788;635;952;547;880;1024;980;1212;937;391;366;9455
128;2023;Italiani + stranieri;24105 - Thiene;383;338;332;323;439;399;437;99;454;390;417;362;4373
129;2023;Italiani + stranieri;24106 - Tonezza del Cimone;333;243;105;325;514;803;1358;1284;500;105;35;625;6230
130;2023;Italiani + stranieri;24107 - Torrebelvicino;100;66;106;99;115;88;165;114;130;121;88;94;1286
131;2023;Italiani + stranieri;24108 - Torri di Quartesolo;131;167;133;713;299;231;281;148;318;224;155;66;2866
132;2023;Italiani + stranieri;24110 - Trissino;155;163;227;236;279;330;365;334;321;293;172;219;3094
133;2023;Italiani + stranieri;24111 - Valdagno;153;237;216;213;173;241;269;186;262;214;201;172;2537
134;2023;Italiani + stranieri;24116 - Vicenza;14211;14885;16728;25642;24725;22988;25549;23600;25219;24372;15551;16384;249854
135;2023;Italiani + stranieri;24117 - Villaga;39;19;29;78;38;48;179;100;119;27;19;19;714
136;2023;Italiani + stranieri;24118 - Villaverla;110;92;113;120;176;196;119;69;216;143;162;95;1611
137;2023;Italiani + stranieri;24121 - Zovencedo;21;6;11;46;29;5;31;36;49;19;3;6;262
138;2023;Italiani + stranieri;24122 - Zugliano;38;92;86;29;64;93;1;28;19;39;58;60;607
139;2023;Italiani + stranieri;24124 - Barbarano Mossano;38;22;36;94;48;66;85;72;54;40;11;30;596
140;2023;Italiani + stranieri;24125 - Valbrenta;119;72;64;226;152;226;483;392;216;112;112;143;2317
141;2023;Italiani + stranieri;24126 - Colceresa;411;334;357;552;458;444;562;409;531;401;339;332;5130
142;2023;Italiani + stranieri;24127 - Lusiana Conco;373;408;231;386;277;358;869;861;329;299;197;411;4999
143;2023;Italiani + stranieri;25001 - Agordo;541;526;250;404;517;905;1502;1758;1127;589;510;629;9258
144;2023;Italiani + stranieri;25002 - Alano di Piave;230;232;249;380;399;451;417;323;546;501;234;216;4178
145;2023;Italiani + stranieri;25003 - Alleghe;5622;5305;3681;937;1572;4217;8157;7965;4867;984;894;4221;48422
146;2023;Italiani + stranieri;25004 - Arsié;26;23;31;478;778;2378;3491;3392;1528;122;24;96;12367
147;2023;Italiani + stranieri;25005 - Auronzo di Cadore;5388;5951;2609;1678;3660;14879;22986;20594;15865;3563;797;3674;101644
148;2023;Italiani + stranieri;25006 - Belluno;3556;3259;3122;3924;4478;5706;7026;7843;6362;4191;3342;3904;56713
149;2023;Italiani + stranieri;25007 - Borca di Cadore;2183;2346;1403;1022;1097;3000;4755;5268;3399;1204;172;2309;28158
150;2023;Italiani + stranieri;25008 - Calalzo di Cadore;706;409;378;421;594;1789;2870;2970;1869;612;337;1377;14332
151;2023;Italiani + stranieri;25010 - Cencenighe Agordino;25;134;35;52;34;85;369;272;143;45;25;56;1275
152;2023;Italiani + stranieri;25011 - Cesiomaggiore;88;73;77;171;107;284;671;693;381;137;93;138;2913
153;2023;Italiani + stranieri;25012 - Chies d'Alpago;337;320;274;335;270;327;455;461;338;362;400;400;4279
154;2023;Italiani + stranieri;25013 - Cibiana di Cadore;115;181;91;72;118;387;594;518;224;119;29;146;2594
155;2023;Italiani + stranieri;25014 - Colle Santa Lucia;779;1074;706;85;235;1235;2061;1906;1485;128;30;350;10074
156;2023;Italiani + stranieri;25015 - Comelico Superiore;1889;2230;836;579;440;2287;4662;4365;2586;714;201;2089;22878
157;2023;Italiani + stranieri;25016 - Cortina d'Ampezzo;27137;26292;21450;9268;11865;38294;56239;49307;42639;13627;2312;21392;319822
