progressivo;anno;provenienza;"Comuni";"Gen Arrivi";"Feb Arrivi";"Mar Arrivi";"Apr Arrivi";"Mag Arrivi";"Giu Arrivi";"Lug Arrivi";"Ago Arrivi";"Set Arrivi";"Ott Arrivi";"Nov Arrivi";"Dic Arrivi";"Totale arrivi"
158;2023;Italiani + stranieri;25017 - Danta di Cadore;47;36;0;9;46;114;248;175;93;4;16;84;872
159;2023;Italiani + stranieri;25018 - Domegge di Cadore;107;90;43;62;125;339;758;926;273;136;19;200;3078
160;2023;Italiani + stranieri;25019 - Falcade;9621;8995;4654;631;386;3986;10508;10392;5461;459;318;6344;61755
161;2023;Italiani + stranieri;25021 - Feltre;1110;1158;1280;1832;2098;2537;2746;3057;2671;1485;1167;1429;22570
162;2023;Italiani + stranieri;25022 - Fonzaso;114;69;100;88;94;147;207;290;139;84;97;105;1534
163;2023;Italiani + stranieri;25023 - Canale d'Agordo;588;765;270;403;197;647;1622;1432;592;252;124;769;7661
164;2023;Italiani + stranieri;25026 - Lamon;129;55;34;170;204;318;572;653;266;170;98;138;2807
165;2023;Italiani + stranieri;25029 - Limana;114;108;136;183;203;303;291;294;187;136;98;191;2244
166;2023;Italiani + stranieri;25030 - Livinallongo del Col di Lana;11598;11355;8622;1353;1081;8178;14546;14296;7526;671;69;11287;90582
167;2023;Italiani + stranieri;25032 - Lorenzago di Cadore;56;42;13;12;20;224;446;195;226;71;101;114;1520
168;2023;Italiani + stranieri;25033 - Lozzo di Cadore;41;69;26;46;66;147;287;272;119;59;46;95;1273
169;2023;Italiani + stranieri;25036 - Pedavena;178;136;145;279;183;389;524;489;506;368;118;381;3696
170;2023;Italiani + stranieri;25037 - Perarolo di Cadore;108;71;58;115;72;138;350;283;162;80;47;169;1653
171;2023;Italiani + stranieri;25039 - Pieve di Cadore;1096;835;743;949;1383;2642;3688;3610;2228;1550;710;1613;21047
172;2023;Italiani + stranieri;25040 - Ponte nelle Alpi;364;438;336;629;851;854;1045;1233;890;775;482;354;8251
173;2023;Italiani + stranieri;25043 - Rivamonte Agordino;36;33;18;23;27;25;60;74;31;18;16;75;436
174;2023;Italiani + stranieri;25044 - Rocca Pietore;6430;6808;4691;419;438;3266;10511;10624;3435;326;120;3746;50814
175;2023;Italiani + stranieri;25045 - San Gregorio nelle Alpi;7;3;0;41;44;47;97;139;59;28;15;53;533
176;2023;Italiani + stranieri;25046 - San Nicolò di Comelico;347;340;152;154;250;468;440;484;394;241;69;278;3617
177;2023;Italiani + stranieri;25047 - San Pietro di Cadore;267;233;88;95;105;274;762;851;330;70;60;217;3352
178;2023;Italiani + stranieri;25048 - Santa Giustina;317;88;175;216;129;362;551;430;307;185;161;219;3140
179;2023;Italiani + stranieri;25049 - San Tomaso Agordino;46;74;13;16;18;64;150;137;44;19;4;67;652
180;2023;Italiani + stranieri;25050 - Santo Stefano di Cadore;1049;1024;504;655;432;1336;2641;2718;1432;506;268;1132;13697
181;2023;Italiani + stranieri;25051 - San Vito di Cadore;3889;4023;2029;686;977;3756;5997;5786;3960;1148;420;3323;35994
182;2023;Italiani + stranieri;25053 - Sedico;96;85;92;146;117;226;472;557;369;106;123;122;2511
183;2023;Italiani + stranieri;25054 - Selva di Cadore;3907;4066;2100;500;680;2990;5708;5724;2722;485;55;2485;31422
184;2023;Italiani + stranieri;25055 - Seren del Grappa;14;25;25;28;76;199;301;274;260;129;45;40;1416
185;2023;Italiani + stranieri;25056 - Sospirolo;133;89;113;154;237;261;532;486;279;157;88;104;2633
186;2023;Italiani + stranieri;25058 - Sovramonte;218;20;1;83;67;300;1014;794;229;134;87;352;3299
187;2023;Italiani + stranieri;25059 - Taibon Agordino;184;178;84;129;168;397;962;1444;837;208;148;201;4940
188;2023;Italiani + stranieri;25060 - Tambre;86;94;26;141;49;272;724;676;325;198;49;143;2783
189;2023;Italiani + stranieri;25062 - Vallada Agordina;6;11;4;1;2;3;22;56;3;1;1;26;136
190;2023;Italiani + stranieri;25063 - Valle di Cadore;770;436;444;712;832;1058;1714;1680;1118;883;308;931;10886
191;2023;Italiani + stranieri;25065 - Vigo di Cadore;21;50;60;48;109;332;1712;1838;799;224;5;139;5337
192;2023;Italiani + stranieri;25066 - Vodo Cadore;587;573;330;267;391;536;1424;1467;941;499;331;657;8003
193;2023;Italiani + stranieri;25067 - Voltago Agordino;168;162;85;81;103;196;577;481;125;121;100;280;2479
194;2023;Italiani + stranieri;25069 - Zoppé di Cadore;49;54;29;38;47;47;65;81;37;10;13;39;509
195;2023;Italiani + stranieri;25070 - Quero Vas;35;35;57;72;82;94;79;102;163;110;41;90;960
196;2023;Italiani + stranieri;25071 - Longarone;78;103;157;204;309;663;1372;1555;1011;297;168;191;6108
197;2023;Italiani + stranieri;25072 - Alpago;129;166;162;898;1250;2677;3939;4215;1554;321;227;176;15714
198;2023;Italiani + stranieri;25073 - Val di Zoldo;5888;5761;3225;580;865;4273;9657;11100;4322;311;145;5069;51196
199;2023;Italiani + stranieri;25074 - Borgo Valbelluna;422;330;428;583;461;952;1347;1443;649;571;397;465;8048
200;2023;Italiani + stranieri;26002 - Arcade;0;0;0;8;0;0;8;8;0;0;1;2;27
201;2023;Italiani + stranieri;26003 - Asolo;511;514;1011;1481;1547;1764;1791;1397;1886;1446;1033;751;15132
202;2023;Italiani + stranieri;26004 - Borso del Grappa;986;956;1389;1727;1540;1899;2126;2387;2120;1211;1015;995;18351
203;2023;Italiani + stranieri;26005 - Breda di Piave;336;416;659;770;663;788;1074;794;965;843;384;421;8113
204;2023;Italiani + stranieri;26006 - Caerano di San Marco;326;389;388;502;630;568;457;428;610;567;368;367;5600
205;2023;Italiani + stranieri;26007 - Cappella Maggiore;2;1;2;3;35;16;46;34;43;36;21;32;271
206;2023;Italiani + stranieri;26008 - Carbonera;45;33;44;66;106;114;149;130;111;96;17;49;960
207;2023;Italiani + stranieri;26009 - Casale sul Sile;203;258;313;559;470;475;629;617;457;519;281;288;5069
208;2023;Italiani + stranieri;26011 - Castelcucco;30;33;35;37;83;131;64;76;126;85;35;35;770
209;2023;Italiani + stranieri;26012 - Castelfranco Veneto;2727;2933;3358;3977;4184;3508;3712;2564;4016;4127;3458;3307;41871
210;2023;Italiani + stranieri;26015 - Cessalto;216;187;159;358;423;548;714;534;406;317;180;234;4276
211;2023;Italiani + stranieri;26016 - Chiarano;87;80;85;183;207;262;344;332;242;192;82;88;2184
212;2023;Italiani + stranieri;26017 - Cimadolmo;27;17;19;59;51;43;73;22;47;55;28;19;460
213;2023;Italiani + stranieri;26018 - Cison di Valmarino;379;429;789;976;1257;926;1054;1020;1264;1220;841;1027;11182
214;2023;Italiani + stranieri;26019 - Codogné;499;497;618;796;753;758;651;430;710;600;464;547;7323
215;2023;Italiani + stranieri;26020 - Colle Umberto;180;226;205;302;261;333;346;244;294;319;196;133;3039
216;2023;Italiani + stranieri;26021 - Conegliano;2388;2928;3004;3825;4346;4511;4429;2985;4614;3978;2941;2725;42674
217;2023;Italiani + stranieri;26022 - Cordignano;84;38;29;110;126;74;121;106;123;95;78;112;1096
218;2023;Italiani + stranieri;26023 - Cornuda;23;34;93;79;139;105;94;23;77;97;36;63;863
219;2023;Italiani + stranieri;26025 - Crocetta del Montello;54;120;146;146;124;135;110;173;116;204;141;95;1564
220;2023;Italiani + stranieri;26026 - Farra di Soligo;175;349;556;845;1006;1066;1026;1047;1387;1013;596;612;9678
221;2023;Italiani + stranieri;26027 - Follina;330;337;425;616;743;748;851;867;995;790;422;354;7478
222;2023;Italiani + stranieri;26028 - Fontanelle;9;15;4;19;24;8;15;11;19;2;0;9;135
223;2023;Italiani + stranieri;26029 - Fonte;9;23;16;67;60;64;67;106;74;61;24;31;602
224;2023;Italiani + stranieri;26030 - Fregona;108;142;109;218;178;210;314;382;279;276;166;149;2531
225;2023;Italiani + stranieri;26031 - Gaiarine;49;52;47;90;77;65;89;83;106;82;70;70;880
226;2023;Italiani + stranieri;26032 - Giavera del Montello;40;30;50;65;83;79;120;92;62;81;64;52;818
227;2023;Italiani + stranieri;26033 - Godega di Sant'Urbano;469;459;530;497;621;645;620;319;728;601;544;425;6458
228;2023;Italiani + stranieri;26035 - Istrana;128;172;174;216;249;231;236;109;236;193;151;145;2240
229;2023;Italiani + stranieri;26038 - Mareno di Piave;81;85;69;70;79;84;82;66;78;106;83;77;960
230;2023;Italiani + stranieri;26039 - Maser;269;296;309;392;169;424;336;296;416;429;310;143;3789
231;2023;Italiani + stranieri;26040 - Maserada sul Piave;112;162;155;260;254;231;208;37;224;216;167;141;2167
232;2023;Italiani + stranieri;26042 - Miane;56;58;68;274;255;277;376;334;258;266;71;144;2437
233;2023;Italiani + stranieri;26043 - Mogliano Veneto;2867;3675;5303;8847;10718;11719;12589;11771;12063;12242;6585;5986;104365
234;2023;Italiani + stranieri;26044 - Monastier di Treviso;15;514;19;2538;3262;3948;3894;3570;1632;422;364;643;20821
235;2023;Italiani + stranieri;26045 - Monfumo;18;48;73;205;202;221;220;209;220;161;72;118;1767
236;2023;Italiani + stranieri;26046 - Montebelluna;845;841;936;947;1315;1096;1241;597;1550;1392;1155;966;12881
237;2023;Italiani + stranieri;26050 - Nervesa della Battaglia;32;31;81;174;191;298;264;213;193;179;66;96;1818
238;2023;Italiani + stranieri;26051 - Oderzo;771;896;918;1007;1104;1210;1321;1016;1259;1073;913;744;12232
239;2023;Italiani + stranieri;26052 - Ormelle;2;1;10;19;12;26;22;16;11;14;9;6;148
