progressivo;anno;provenienza;"Comuni";"Gen Presenze";"Feb Presenze";"Mar Presenze";"Apr Presenze";"Mag Presenze";"Giu Presenze";"Lug Presenze";"Ago Presenze";"Set Presenze";"Ott Presenze";"Nov Presenze";"Dic Presenze";"Totale presenze"
1;2023;Italiani + stranieri;23001 - Affi;3995;3723;4623;7462;7162;6959;9261;9436;7987;5885;3584;3857;73934
2;2023;Italiani + stranieri;23004 - Arcole;122;78;85;185;136;142;108;139;140;98;127;82;1442
3;2023;Italiani + stranieri;23005 - Badia Calavena;50;53;57;183;287;143;227;366;210;78;98;96;1848
4;2023;Italiani + stranieri;23006 - Bardolino;11015;10351;39623;230375;271006;385281;423751;452869;342642;182775;17473;18958;2386119
5;2023;Italiani + stranieri;23009 - Bonavigo;59;47;82;182;84;93;172;187;180;105;30;56;1277
6;2023;Italiani + stranieri;23011 - Bosco Chiesanuova;1081;588;232;1128;491;1179;5113;5610;1143;391;236;1204;18396
7;2023;Italiani + stranieri;23013 - Brentino Belluno;166;76;255;905;940;1131;1684;2024;1210;367;167;127;9052
8;2023;Italiani + stranieri;23014 - Brenzone sul Garda;1572;1706;3707;30391;45409;67517;92064;102534;68265;23939;1614;2190;440908
9;2023;Italiani + stranieri;23015 - Bussolengo;6529;6567;12952;26227;25587;24840;33017;33272;28404;21309;10773;12492;241969
10;2023;Italiani + stranieri;23016 - Buttapietra;570;414;194;188;100;103;138;179;166;337;296;294;2979
11;2023;Italiani + stranieri;23017 - Caldiero;1096;943;1093;1566;1608;1622;2304;2304;2602;1934;2058;1323;20453
12;2023;Italiani + stranieri;23018 - Caprino Veronese;926;971;2632;8418;8751;10803;16134;19153;11582;6679;1890;2059;89998
13;2023;Italiani + stranieri;23021 - Castel d'Azzano;2421;1740;1877;5903;5202;5438;7638;9126;7982;5412;3753;3358;59850
14;2023;Italiani + stranieri;23022 - Castelnuovo del Garda;10680;7080;14257;89743;87191;147204;183334;196832;111136;49937;8882;12773;919049
15;2023;Italiani + stranieri;23023 - Cavaion Veronese;1569;1342;2664;9747;9514;13486;20156;21795;14956;7436;3710;4759;111134
16;2023;Italiani + stranieri;23024 - Cazzano di Tramigna;244;130;126;458;344;310;574;407;499;266;177;238;3773
17;2023;Italiani + stranieri;23025 - Cerea;277;301;403;535;531;464;590;700;696;495;594;445;6031
18;2023;Italiani + stranieri;23026 - Cerro Veronese;0;8;0;116;29;37;484;769;451;263;151;66;2374
19;2023;Italiani + stranieri;23027 - Cologna Veneta;108;76;131;197;200;128;137;136;173;165;92;84;1627
20;2023;Italiani + stranieri;23028 - Colognola ai Colli;966;702;945;2044;1923;2296;2726;2977;2528;1711;1076;1042;20936
21;2023;Italiani + stranieri;23030 - Costermano sul Garda;1312;2985;7804;27964;29569;40564;58155;64394;41362;20698;1433;1663;297903
22;2023;Italiani + stranieri;23031 - Dolcé;345;255;300;512;360;476;418;782;513;324;186;200;4671
23;2023;Italiani + stranieri;23035 - Fumane;322;315;494;2137;1683;2876;5395;5103;2915;1639;485;866;24230
24;2023;Italiani + stranieri;23036 - Garda;4350;3021;11160;85894;107067;129193;157014;174249;138257;72270;5030;8528;896033
25;2023;Italiani + stranieri;23037 - Gazzo Veronese;74;55;97;115;131;124;161;93;125;94;98;95;1262
26;2023;Italiani + stranieri;23038 - Grezzana;342;307;667;1855;1802;1795;2621;2577;2493;1447;858;643;17407
27;2023;Italiani + stranieri;23039 - Illasi;308;533;707;1036;1105;1506;2422;2473;1653;939;251;547;13480
28;2023;Italiani + stranieri;23040 - Isola della Scala;1003;851;1203;1116;1290;992;1259;1092;1298;1364;1427;1106;14001
29;2023;Italiani + stranieri;23043 - Lazise;13487;12129;50684;422226;445956;593653;804034;896984;592584;249308;28508;28950;4138503
30;2023;Italiani + stranieri;23044 - Legnago;2403;2636;2879;2785;3371;2893;3098;2655;3938;3041;2822;2239;34760
31;2023;Italiani + stranieri;23045 - Malcesine;1823;1558;8290;91432;126342;172203;229620;243219;182904;76268;2535;2441;1138635
32;2023;Italiani + stranieri;23046 - Marano di Valpolicella;200;274;355;1018;724;972;1472;1444;1060;659;260;343;8781
33;2023;Italiani + stranieri;23047 - Mezzane di Sotto;833;691;797;1221;758;1205;1693;1872;1477;978;621;540;12686
34;2023;Italiani + stranieri;23049 - Montecchia di Crosara;93;103;284;309;439;312;586;507;406;239;181;112;3571
35;2023;Italiani + stranieri;23052 - Negrar di Valpolicella;4745;5543;8353;14416;13967;15240;15973;16807;15152;11017;7023;6251;134487
36;2023;Italiani + stranieri;23053 - Nogara;958;865;967;1243;1178;1052;1026;1010;1259;1161;960;799;12478
37;2023;Italiani + stranieri;23054 - Nogarole Rocca;2808;2910;3320;4917;4283;4828;5576;5787;5934;4582;3990;2996;51931
38;2023;Italiani + stranieri;23055 - Oppeano;1183;930;787;945;1380;1091;1208;1322;1656;1533;1387;1234;14656
39;2023;Italiani + stranieri;23057 - Pastrengo;592;452;1970;5418;4822;5754;7728;9008;6051;4031;958;707;47491
40;2023;Italiani + stranieri;23058 - Pescantina;2799;2476;2729;4360;4036;4265;5394;6718;4851;3722;3013;3543;47906
41;2023;Italiani + stranieri;23059 - Peschiera del Garda;13971;12598;40233;254459;257031;365604;446772;466670;327725;213336;23944;19718;2442061
42;2023;Italiani + stranieri;23060 - Povegliano Veronese;64;40;125;225;119;337;466;470;395;275;219;220;2955
43;2023;Italiani + stranieri;23062 - Rivoli Veronese;255;285;497;2274;1886;3285;4955;5413;2872;975;279;540;23516
44;2023;Italiani + stranieri;23064 - Ronco all'Adige;530;351;448;629;758;639;603;670;427;490;538;401;6484
45;2023;Italiani + stranieri;23067 - Roveré Veronese;151;126;133;245;187;393;956;808;266;197;234;119;3815
46;2023;Italiani + stranieri;23068 - Salizzole;150;83;165;155;89;118;171;116;73;48;147;187;1502
47;2023;Italiani + stranieri;23069 - San Bonifacio;6612;5580;6568;7717;7573;7406;8165;7425;7366;6694;5516;4438;81060
48;2023;Italiani + stranieri;23070 - San Giovanni Ilarione;15;36;54;87;33;72;87;18;106;52;51;43;654
49;2023;Italiani + stranieri;23071 - San Giovanni Lupatoto;5014;5676;5948;7907;8351;9965;11921;12063;11916;9485;7924;8812;104982
50;2023;Italiani + stranieri;23073 - San Martino Buon Albergo;5496;4792;6922;9651;10253;10849;11966;12286;10000;7638;6676;5850;102379
51;2023;Italiani + stranieri;23074 - San Mauro di Saline;0;0;28;94;78;135;169;256;274;120;35;48;1237
52;2023;Italiani + stranieri;23076 - San Pietro in Cariano;2317;1769;2729;6484;7172;7418;9492;10189;8454;5263;3464;3262;68013
53;2023;Italiani + stranieri;23077 - Sant'Ambrogio di Valpolicella;858;927;1026;2759;2304;3167;5278;6165;4159;2292;1373;1053;31361
54;2023;Italiani + stranieri;23078 - Sant'Anna d'Alfaedo;58;67;81;312;179;407;625;644;304;114;70;132;2993
55;2023;Italiani + stranieri;23079 - San Zeno di Montagna;757;395;2885;18894;19849;24050;34385;37335;25407;13806;1275;2425;181463
56;2023;Italiani + stranieri;23080 - Selva di Progno;28;5;9;96;84;223;765;1033;384;56;36;39;2758
57;2023;Italiani + stranieri;23081 - Soave;2901;3308;2714;6476;6816;7751;8625;5983;8358;6480;5081;4009;68502
58;2023;Italiani + stranieri;23082 - Sommacampagna;5660;5235;5888;9129;8468;9323;11516;12019;10904;8275;6275;6495;99187
59;2023;Italiani + stranieri;23084 - Sorgà;121;147;208;320;285;103;397;385;325;240;236;277;3044
60;2023;Italiani + stranieri;23086 - Torri del Benaco;814;442;4493;36757;42509;60489;81223;90184;65055;29955;2781;3108;417810
61;2023;Italiani + stranieri;23087 - Tregnago;586;459;795;1131;912;1121;1155;1342;1384;1016;689;646;11236
62;2023;Italiani + stranieri;23089 - Valeggio sul Mincio;3997;3536;5521;34338;55762;86272;109735;118885;45502;9233;5208;5216;483205
63;2023;Italiani + stranieri;23090 - Velo Veronese;185;102;138;460;202;734;2238;2930;430;207;151;257;8034
64;2023;Italiani + stranieri;23091 - Verona;148410;141898;181489;269400;261209;267588;320013;328306;302556;246134;181559;184355;2832917
65;2023;Italiani + stranieri;23093 - Vestenanova;61;6;25;157;114;128;346;340;229;3;16;31;1456
66;2023;Italiani + stranieri;23094 - Vigasio;2860;2591;931;3837;3651;4670;5518;5275;4730;3472;2820;2629;42984
67;2023;Italiani + stranieri;23095 - Villa Bartolomea;1205;1709;2430;2305;2270;2752;3542;2348;3139;2118;1708;1269;26795
68;2023;Italiani + stranieri;23096 - Villafranca di Verona;13420;17993;22703;31512;30106;31146;38339;38495;35356;28349;19504;15855;322778
69;2023;Italiani + stranieri;23097 - Zevio;765;772;1112;1638;1500;1672;1878;1780;1850;1290;922;849;16028
70;2023;Italiani + stranieri;24001 - Agugliaro;347;210;244;434;255;424;367;359;271;274;213;326;3724
71;2023;Italiani + stranieri;24004 - Altavilla Vicentina;4533;4125;4692;5932;6029;6304;7784;7874;7149;6411;5049;4519;70401
72;2023;Italiani + stranieri;24005 - Altissimo;94;98;87;144;178;269;226;161;218;97;177;104;1853
73;2023;Italiani + stranieri;24006 - Arcugnano;1565;1098;1479;2866;3428;3375;3808;4316;3756;3087;1579;1661;32018
74;2023;Italiani + stranieri;24007 - Arsiero;339;551;433;394;621;614;818;1473;796;626;469;436;7570
75;2023;Italiani + stranieri;24008 - Arzignano;448;336;562;538;493;605;568;306;701;576;582;571;6286
76;2023;Italiani + stranieri;24009 - Asiago;29909;24121;14667;12711;10414;22247;49540;59326;23900;11751;9780;25103;293469
77;2023;Italiani + stranieri;24012 - Bassano del Grappa;8920;8811;10736;15131;15922;15754;16865;16520;16972;15758;10152;11603;163144
78;2023;Italiani + stranieri;24013 - Bolzano Vicentino;1512;1327;1135;2551;2553;1869;2072;1691;2434;2086;1271;1821;22322
79;2023;Italiani + stranieri;24014 - Breganze;317;196;344;316;385;314;311;355;416;321;366;377;4018
80;2023;Italiani + stranieri;24017 - Brogliano;257;171;290;350;363;321;364;211;316;232;253;140;3268
81;2023;Italiani + stranieri;24020 - Calvene;57;9;16;24;22;24;38;127;43;8;11;50;429
82;2023;Italiani + stranieri;24021 - Camisano Vicentino;91;43;43;61;60;49;24;99;124;56;52;83;785
83;2023;Italiani + stranieri;24026 - Cassola;2089;1848;2329;2930;2642;2867;2534;3129;2790;2485;2224;2654;30521
84;2023;Italiani + stranieri;24027 - Castegnero;317;113;359;655;566;762;957;960;702;508;144;216;6259
85;2023;Italiani + stranieri;24028 - Castelgomberto;182;88;109;238;228;268;377;568;284;246;101;143;2832
86;2023;Italiani + stranieri;24034 - Cornedo Vicentino;380;303;376;286;337;221;341;144;345;359;354;285;3731
87;2023;Italiani + stranieri;24035 - Costabissara;578;411;589;526;627;546;1328;407;769;668;579;513;7541
88;2023;Italiani + stranieri;24036 - Creazzo;5456;5290;4926;5827;6211;6281;7945;8077;6302;5981;4542;5066;71904
89;2023;Italiani + stranieri;24038 - Dueville;260;313;340;480;426;410;430;515;498;372;416;376;4836
90;2023;Italiani + stranieri;24039 - Enego;179;89;26;27;66;303;1335;1904;189;17;31;202;4368
91;2023;Italiani + stranieri;24040 - Fara Vicentino;204;280;622;2034;2066;320;768;888;376;288;90;200;8136
92;2023;Italiani + stranieri;24041 - Foza;133;89;25;42;40;89;562;342;106;55;8;328;1819
93;2023;Italiani + stranieri;24042 - Gallio;7758;7753;5171;4553;4146;7083;20398;21217;7868;4693;4438;7985;103063
94;2023;Italiani + stranieri;24046 - Grisignano di Zocco;1312;1077;1235;1623;2260;2205;2130;1784;2625;2477;2252;2022;23002
95;2023;Italiani + stranieri;24047 - Grumolo delle Abbadesse;1910;1788;1846;1965;2042;2107;2128;851;2323;2098;1738;1581;22377
96;2023;Italiani + stranieri;24048 - Isola Vicentina;184;115;267;383;321;335;284;482;549;454;446;313;4133
97;2023;Italiani + stranieri;24052 - Lonigo;2012;1771;2321;2592;2787;2783;3463;2454;3334;2638;2257;1301;29713
98;2023;Italiani + stranieri;24053 - Lugo di Vicenza;166;117;142;161;217;203;779;656;208;232;107;205;3193
99;2023;Italiani + stranieri;24055 - Malo;1380;1078;1278;1333;1621;1914;1648;1133;1729;1770;1557;1349;17790
100;2023;Italiani + stranieri;24056 - Marano Vicentino;447;371;346;344;360;415;406;104;436;426;365;305;4325
101;2023;Italiani + stranieri;24057 - Marostica;1107;781;1183;1830;1801;1684;2044;1303;1720;1507;1562;1592;18114
102;2023;Italiani + stranieri;24060 - Montebello Vicentino;1129;1126;1177;1472;1491;1257;1507;1658;1593;1327;1150;1135;16022
103;2023;Italiani + stranieri;24061 - Montecchio Maggiore;8754;8339;9272;10758;11033;10212;10884;10639;11577;10364;9800;7942;119574
104;2023;Italiani + stranieri;24062 - Montecchio Precalcino;79;2;31;48;14;0;0;19;30;32;31;46;332
105;2023;Italiani + stranieri;24064 - Montegalda;486;313;271;634;694;653;812;783;786;523;329;364;6648
106;2023;Italiani + stranieri;24065 - Montegaldella;83;117;198;194;130;154;111;189;98;168;126;103;1671
107;2023;Italiani + stranieri;24066 - Monteviale;29;85;29;55;106;97;41;71;40;65;34;62;714
108;2023;Italiani + stranieri;24067 - Monticello Conte Otto;319;255;388;458;430;498;493;370;355;252;332;140;4290
109;2023;Italiani + stranieri;24068 - Montorso Vicentino;533;360;802;649;807;633;755;676;806;226;608;607;7462
110;2023;Italiani + stranieri;24071 - Nanto;19;16;52;84;66;64;127;96;99;85;47;24;779
111;2023;Italiani + stranieri;24079 - Poiana Maggiore;34;37;64;91;108;81;113;87;101;103;83;91;993
112;2023;Italiani + stranieri;24080 - Posina;176;21;22;45;175;362;1376;1436;341;178;104;119;4355
113;2023;Italiani + stranieri;24081 - Pove del Grappa;613;745;848;952;1039;1066;1102;798;913;883;740;762;10461
114;2023;Italiani + stranieri;24083 - Quinto Vicentino;345;184;256;180;249;232;211;261;232;207;185;144;2686
115;2023;Italiani + stranieri;24084 - Recoaro Terme;688;598;601;1040;481;1087;3513;3593;1723;627;660;1003;15614
116;2023;Italiani + stranieri;24085 - Roana;15040;12036;7915;6350;5707;10976;28898;39056;10848;4399;4037;8484;153746
117;2023;Italiani + stranieri;24086 - Romano d'Ezzelino;426;576;725;1144;1221;1323;1446;1559;1364;1561;884;928;13157
118;2023;Italiani + stranieri;24087 - Rosà;556;550;667;676;606;690;895;657;497;555;491;350;7190
119;2023;Italiani + stranieri;24089 - Rotzo;399;289;88;66;57;155;508;642;337;56;54;199;2850
120;2023;Italiani + stranieri;24091 - Sandrigo;1319;1433;1808;1278;1201;1506;1345;426;1866;1772;1064;1434;16452
121;2023;Italiani + stranieri;24095 - Santorso;600;738;979;1144;1097;1155;1019;735;1091;1009;960;676;11203
122;2023;Italiani + stranieri;24097 - Sarcedo;435;450;451;494;495;532;746;479;549;420;443;378;5872
123;2023;Italiani + stranieri;24098 - Sarego;338;335;366;417;479;415;454;360;457;346;271;291;4529
124;2023;Italiani + stranieri;24100 - Schio;5254;4729;6115;6066;6349;7095;10734;9571;7468;6121;5245;5267;80014
125;2023;Italiani + stranieri;24101 - Solagna;7;4;170;813;468;257;666;952;735;390;78;79;4619
126;2023;Italiani + stranieri;24103 - Sovizzo;141;91;30;218;376;149;249;186;235;0;144;234;2053
127;2023;Italiani + stranieri;24104 - Tezze sul Brenta;1836;1817;1869;2178;1402;1987;2558;2740;2354;1894;840;727;22202
128;2023;Italiani + stranieri;24105 - Thiene;931;731;809;828;938;887;1044;481;1363;1358;1380;1315;12065
129;2023;Italiani + stranieri;24106 - Tonezza del Cimone;1435;457;250;565;584;2392;7837;9968;1744;869;123;1496;27720
130;2023;Italiani + stranieri;24107 - Torrebelvicino;182;129;184;211;227;200;373;268;245;187;158;173;2537
131;2023;Italiani + stranieri;24108 - Torri di Quartesolo;402;312;373;1348;729;655;704;341;528;534;419;238;6583
132;2023;Italiani + stranieri;24110 - Trissino;398;347;453;594;477;673;712;965;743;692;433;430;6917
133;2023;Italiani + stranieri;24111 - Valdagno;244;438;381;343;336;414;606;529;485;320;375;314;4785
134;2023;Italiani + stranieri;24116 - Vicenza;36101;32123;38554;54918;51096;50759;56964;56913;57212;50971;34044;35640;555295
135;2023;Italiani + stranieri;24117 - Villaga;611;441;302;252;120;290;646;276;440;239;160;253;4030
136;2023;Italiani + stranieri;24118 - Villaverla;304;182;264;282;466;486;306;350;606;499;387;198;4330
137;2023;Italiani + stranieri;24121 - Zovencedo;51;9;17;69;64;8;65;53;118;39;3;10;506
138;2023;Italiani + stranieri;24122 - Zugliano;97;126;233;134;148;253;5;84;36;59;71;103;1349
139;2023;Italiani + stranieri;24124 - Barbarano Mossano;296;197;323;362;382;308;548;460;392;281;97;177;3823
140;2023;Italiani + stranieri;24125 - Valbrenta;310;261;271;509;364;533;2076;1963;590;380;312;364;7933
141;2023;Italiani + stranieri;24126 - Colceresa;784;681;764;955;941;922;1251;1055;1083;828;670;655;10589
142;2023;Italiani + stranieri;24127 - Lusiana Conco;860;650;467;760;578;949;3095;3273;800;587;332;761;13112
143;2023;Italiani + stranieri;25001 - Agordo;1564;1384;843;1132;1352;1732;3059;3698;2028;1341;1441;1596;21170
144;2023;Italiani + stranieri;25002 - Alano di Piave;1456;1822;1606;1759;1625;1609;1530;1093;1892;1762;1177;1058;18389
145;2023;Italiani + stranieri;25003 - Alleghe;24404;25857;17712;2309;3395;9487;26107;30655;12076;2314;1905;13198;169419
146;2023;Italiani + stranieri;25004 - Arsié;52;38;43;1101;2034;5660;11737;16015;3905;370;51;135;41141
147;2023;Italiani + stranieri;25005 - Auronzo di Cadore;15444;17649;7627;3646;7190;38435;85105;83420;35907;7291;1769;9808;313291
148;2023;Italiani + stranieri;25006 - Belluno;8381;7776;8290;9153;10171;11726;15366;17625;12709;10313;9030;9549;130089
149;2023;Italiani + stranieri;25007 - Borca di Cadore;7417;7401;5089;3276;2619;8762;16441;19111;8707;2691;767;6731;89012
150;2023;Italiani + stranieri;25008 - Calalzo di Cadore;1942;1108;867;1066;1547;4515;9389;9346;4561;1730;1116;2711;39898
151;2023;Italiani + stranieri;25010 - Cencenighe Agordino;47;312;76;141;70;258;1187;1198;699;196;173;165;4522
152;2023;Italiani + stranieri;25011 - Cesiomaggiore;172;129;165;348;279;513;1268;1549;678;263;146;231;5741
153;2023;Italiani + stranieri;25012 - Chies d'Alpago;677;489;426;657;582;707;1033;1401;726;734;754;752;8938
154;2023;Italiani + stranieri;25013 - Cibiana di Cadore;515;307;162;141;200;892;2081;2429;595;254;110;417;8103
155;2023;Italiani + stranieri;25014 - Colle Santa Lucia;1858;2193;1037;275;534;2234;3861;4086;2300;462;84;954;19878
156;2023;Italiani + stranieri;25015 - Comelico Superiore;7091;6854;3639;1374;1129;5817;20176;24081;7646;1591;457;5795;85650
157;2023;Italiani + stranieri;25016 - Cortina d'Ampezzo;112338;113105;87655;33734;30067;89940;151834;175198;96604;35587;13074;80747;1019883
158;2023;Italiani + stranieri;25017 - Danta di Cadore;178;91;0;20;52;192;891;1071;246;20;33;222;3016
159;2023;Italiani + stranieri;25018 - Domegge di Cadore;371;256;183;236;398;896;2059;2570;685;285;140;414;8493
160;2023;Italiani + stranieri;25019 - Falcade;40587;39797;21289;2997;1036;11758;50765;58959;15980;1207;1001;22227;267603
161;2023;Italiani + stranieri;25021 - Feltre;2613;2590;3108;4136;4313;5299;6059;7870;5643;4050;2949;3443;52073
162;2023;Italiani + stranieri;25022 - Fonzaso;164;102;189;127;204;227;548;723;366;208;196;163;3217
163;2023;Italiani + stranieri;25023 - Canale d'Agordo;2788;2566;878;1296;779;2801;10039;14013;3309;907;613;2820;42809
164;2023;Italiani + stranieri;25026 - Lamon;395;224;221;729;862;1084;2192;2536;1006;609;371;409;10638
165;2023;Italiani + stranieri;25029 - Limana;516;588;667;590;678;1197;1527;1697;683;531;517;642;9833
166;2023;Italiani + stranieri;25030 - Livinallongo del Col di Lana;62274;63858;48467;6820;2607;20393;51012;60305;21096;1690;355;45506;384383
167;2023;Italiani + stranieri;25032 - Lorenzago di Cadore;163;87;17;76;47;641;1510;1202;587;108;175;293;4906
