;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MESE;Altri America Paese;Altri paesi Paese;Altri paesi Africa Paese;Altri Paesi Africa Mediterranea Paese;Altri Paesi Asia Occidentale Paese;Altri paesi asiatici Paese;Altri paesi europei Paese;Argentina Paese;Australia Paese;Austria Paese;Belgio Paese;Brasile Paese;Bulgaria Paese;Canada Paese;Cina Paese;Cipro Paese;Corea del Sud Paese;Croazia Paese;Danimarca Paese;Egitto Paese;Estonia Paese;Finlandia Paese;Francia Paese;Germania Paese;Giappone Paese;Grecia Paese;India Paese;Irlanda Paese;Islanda Paese;Israele Paese;Lettonia Paese;Lituania Paese;Lussemburgo Paese;Malta Paese;Messico Paese;Norvegia Paese;Nuova Zelanda Paese;Paesi Bassi Paese;Polonia Paese;Portogallo Paese;Regno Unito Paese;Repubblica Ceca Paese;Romania Paese;Russia Paese;Slovacchia Paese;Slovenia Paese;Spagna Paese;Sud africa Paese;Svezia Paese;Svizzera-Liecht Paese;Turchia Paese;Ucraina Paese;Ungheria Paese;Usa Paese;Venezuela Paese;Totale stranieri Paese
01Gennaio;16;1;2;75;6;11;703;4;;113;113;24;97;33;2;;4;20;4;49;;63;105;162;5;277;16;10;;3;5;9;2;;1;8;126;48;10;;379;29;69;14;2;102;86;6;14;115;;31;36;153;;3163
02Febbraio;84;44;89;94;143;69;674;87;43;2865;268;104;118;392;24;1;31;291;76;;45;249;1930;1628;76;367;6;51;120;32;102;37;66;1;32;582;223;80;264;96;788;423;338;219;183;808;332;1;856;1819;637;33;160;817;1;18899
03Marzo;59;8;19;87;1;20;390;12;;169;89;9;17;66;2;;3;49;8;3;;144;290;245;21;247;;14;7;;1;;26;;;25;131;113;330;43;645;282;113;16;97;252;66;;355;133;247;4;18;174;4;5054
04Aprile;;;;62;;;286;1;;119;16;7;1;30;;;;;;7;;;45;54;;164;;;;;;;30;;;;120;21;8;19;307;152;91;1;9;80;12;;1;17;1;17;35;78;29;1820
05Maggio;10;;6;29;;14;352;11;4;303;132;21;4;13;12;;4;52;13;2;;5;95;776;4;;1;4;;1;6;26;15;2;4;1;121;76;163;8;304;113;358;8;91;34;64;2;3;90;6;55;76;198;14;3706
06Giugno;123;33;55;26;28;56;696;116;41;2442;1669;59;108;63;83;15;32;644;131;19;58;36;3669;10203;40;102;67;13;6;295;118;176;96;34;13;29;19;2423;3063;391;573;1491;1103;65;693;1177;1089;45;160;1849;22;253;648;844;12;37314
07Luglio;466;54;143;108;263;440;1357;171;113;4959;6661;153;347;218;122;39;198;1045;2238;29;204;181;9148;24694;110;406;173;150;14;1357;211;639;305;168;74;184;56;9172;8009;348;1001;9225;2064;310;1614;3211;4295;32;591;4304;8;332;2071;3449;71;107305
08Agosto;575;47;113;149;494;448;1838;118;139;4374;4381;207;239;282;487;46;235;497;759;9;178;126;13429;26736;197;103;165;306;26;980;171;453;475;99;73;140;27;9215;7044;725;1538;5291;1978;285;960;2424;8506;23;431;3298;11;283;1577;4339;43;107092
09Settembre;622;65;47;107;185;569;1038;66;112;5673;3687;102;122;571;196;55;82;537;619;24;83;233;7062;28338;77;158;178;344;12;2454;189;479;256;305;96;193;58;7580;5230;558;1381;3719;1795;257;710;1295;3677;23;293;3421;14;259;747;6415;12;92380
10Ottobre;218;18;63;50;80;135;726;28;84;1340;487;103;74;247;89;8;117;197;151;4;27;129;1538;4865;9;78;85;135;10;477;84;92;12;130;13;191;18;1193;588;230;1063;641;988;103;139;429;1567;21;87;1028;9;268;371;1967;15;22819
11Novembre;82;1;37;92;37;91;855;18;9;205;130;74;;58;32;;19;13;6;3;;19;288;502;12;49;36;1;;151;;30;1;62;11;1;;98;107;187;295;19;71;62;19;38;314;3;25;63;7;1;111;451;2;4798
12Dicembre;296;21;53;131;184;743;1120;53;239;624;1584;221;361;258;360;45;54;1706;471;48;10;170;1002;6878;61;344;49;218;13;184;110;283;118;208;70;47;21;2694;4356;162;3276;5779;2660;812;987;10083;1015;17;317;697;39;364;816;4702;122;57256
