;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TOTALE
MESE;Altri America Paese;Altri paesi Paese;Altri paesi Africa Paese;Altri Paesi Africa Mediterranea Paese;Altri Paesi Asia Occidentale Paese;Altri paesi asiatici Paese;Altri paesi europei Paese;Argentina Paese;Australia Paese;Austria Paese;Belgio Paese;Brasile Paese;Bulgaria Paese;Canada Paese;Cina Paese;Cipro Paese;Corea del Sud Paese;Croazia Paese;Danimarca Paese;Egitto Paese;Estonia Paese;Finlandia Paese;Francia Paese;Germania Paese;Giappone Paese;Grecia Paese;India Paese;Irlanda Paese;Islanda Paese;Israele Paese;Lettonia Paese;Lituania Paese;Lussemburgo Paese;Malta Paese;Messico Paese;Norvegia Paese;Nuova Zelanda Paese;Paesi Bassi Paese;Polonia Paese;Portogallo Paese;Regno Unito Paese;Repubblica Ceca Paese;Romania Paese;Russia Paese;Slovacchia Paese;Slovenia Paese;Spagna Paese;Sud africa Paese;Svezia Paese;Svizzera-Liecht Paese;Turchia Paese;Ucraina Paese;Ungheria Paese;Usa Paese;Venezuela Paese;Totale stranieri
01Gennaio;893;7;193;330;361;1050;6994;339;3082;2741;2530;3237;944;920;427;100;446;6143;861;212;181;292;1982;17928;579;619;158;1048;32;154;294;767;184;362;276;692;409;5740;48668;475;11312;12432;5664;1681;5484;12019;3384;100;1873;2599;705;1609;3151;6339;78;181080
02Febbraio;729;127;215;305;826;1409;3811;387;1353;3578;6779;2082;1358;1506;555;144;184;2975;2669;327;426;839;3203;23529;674;566;224;1562;75;185;295;1590;449;819;233;1382;272;12240;42832;1480;22681;37897;11085;1300;6566;21483;4123;74;8723;3050;531;791;5213;9272;59;257042
03Marzo;485;286;61;333;148;1093;2471;279;725;3516;2689;1411;1352;990;411;91;518;997;657;328;257;472;3168;20186;276;489;219;753;97;295;315;204;88;281;215;544;132;4504;21927;884;11885;21534;2045;666;6233;4165;3276;182;4304;1774;123;381;2566;6360;45;139686
04Aprile;231;;64;226;184;2308;839;155;426;603;1305;1235;85;285;620;12;634;207;50;216;43;80;1349;2660;146;103;116;102;;331;40;37;16;100;124;132;74;544;929;274;2448;397;902;105;315;384;1095;52;264;414;16;216;283;1749;10;25535
05Maggio;487;9;90;312;258;2981;1015;376;1336;1286;896;1828;90;1044;815;34;1146;294;126;361;96;143;3689;7144;100;156;478;199;4;368;161;286;47;84;225;223;242;1987;1444;396;1908;1073;1081;270;216;315;2242;61;84;927;58;314;701;4532;6;46044
06Giugno;1016;19;197;256;857;5860;1493;611;4397;3544;3649;2097;423;2906;1928;29;5249;1182;682;344;339;1042;11777;17187;1132;317;905;1020;120;1530;408;1029;244;272;456;1805;734;7599;8224;1019;7944;7405;3567;528;2429;2673;8508;241;1388;3011;387;861;3106;20077;74;156097
07Luglio;960;44;174;304;1345;4786;2929;570;4387;5332;10886;1589;931;3755;2179;135;8212;3733;5708;420;375;1886;22486;28211;2263;834;828;1423;111;3383;755;2005;340;433;684;3828;1052;16353;16689;965;11226;22993;5255;790;4638;6007;16254;216;4014;6650;230;2389;6477;25179;101;275702
08Agosto;648;21;100;181;939;2776;2567;496;3707;4762;6385;1056;738;2575;1570;252;3902;3542;1142;328;181;575;29267;25534;1090;490;648;1029;78;2820;528;1297;289;455;483;1060;727;13763;14313;831;10550;12098;6559;684;3229;4182;21173;146;1027;4368;129;2171;4741;18170;36;222408
09Settembre;1106;15;179;208;504;5149;2050;738;6293;3968;4917;2572;661;5536;1936;79;3408;850;752;412;192;616;11401;21724;813;147;743;1358;234;2666;783;1149;141;458;417;1283;1186;8369;8947;846;11067;5116;4053;494;1558;1828;8342;210;667;3892;141;1050;2396;28860;29;174509
10Ottobre;631;4;83;330;240;6292;740;411;1712;787;558;2081;166;1634;1621;64;1596;182;210;452;36;211;2271;5171;127;113;562;173;18;887;108;270;29;190;197;132;224;1156;732;491;2143;789;1114;194;286;713;2602;23;140;1013;26;535;683;7478;20;50651
11Novembre;264;;60;153;196;692;591;60;154;159;111;793;49;110;106;5;236;136;18;380;13;9;350;647;19;65;289;37;;98;6;70;9;130;121;32;18;49;137;102;477;118;653;54;181;251;627;11;29;130;18;173;250;883;7;10336
12Dicembre;456;2;175;171;390;2285;2603;241;1004;960;1892;1803;1012;420;946;67;237;2721;338;208;96;168;1094;9590;137;519;313;461;33;392;93;348;224;417;387;212;76;3794;8201;299;4632;8604;4340;767;1999;14724;2679;245;428;1228;42;982;1496;7195;54;94200
